_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4af9e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a2d519359b7438a0c1e,Pakabu,585339,0,0,6,5,0,1,0,2,4,6,0,1,0,5,0,0,6,0,6,6,0,0,6,6,0,0,6,6,0
68e945628d6bb3c8b5c4af9f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a2d519359b7438a0c23,Cheemalabayalu,585361,0,1,7,7,0,1,0,8,0,5,3,0,0,8,0,0,8,0,8,8,0,8,0,8,0,8,0,8,0
68e945628d6bb3c8b5c4afa0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a30519359b7438a0c73,Palada,585333,0,2,4,6,0,0,0,6,0,5,1,3,2,1,0,0,6,0,6,6,0,0,6,6,0,0,6,6,0
68e945628d6bb3c8b5c4afa1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a31519359b7438a0c7d,Pedabarada,585317,0,9,21,23,2,5,0,16,14,25,5,15,4,11,0,0,30,0,30,30,0,12,18,30,0,0,30,30,0
68e945628d6bb3c8b5c4afa2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a31519359b7438a0c82,Gondipakalu,585320,0,3,6,6,1,2,0,9,0,9,0,8,0,1,0,0,9,0,9,9,0,0,9,8,1,0,9,9,0
68e945628d6bb3c8b5c4afa3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a31519359b7438a0c87,Ravimanupakalu,585327,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4afa4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a32519359b7438a0caa,Yerrabommalu,585281,0,0,2,1,1,0,0,1,1,2,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68e945628d6bb3c8b5c4afa5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a33519359b7438a0cb4,Godugumamidi,585298,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68e945628d6bb3c8b5c4afa6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a33519359b7438a0cc8,Yerravaram,585293,0,3,6,5,1,3,0,3,6,9,0,0,3,6,0,0,9,0,9,9,0,0,9,9,0,0,9,9,0
68e945628d6bb3c8b5c4afa7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac4680216eb6c93e2d7,CHINTAPALLE,5589,63f99a36519359b7438a0d09,Vanajajulu,585264,1,0,1,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
