_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ada9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c4519359b74389e420,Lakkavaram,579221,0,4,10,12,1,1,6,2,6,14,0,6,0,8,0,0,14,0,14,14,0,13,1,14,0,8,6,14,0
68e945628d6bb3c8b5c4adaa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c4519359b74389e42a,Dondagudem,579216,0,0,3,2,1,0,2,0,1,3,0,3,0,0,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4adab,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c4519359b74389e42f,Tulugonda,579215,0,1,3,1,2,1,3,1,0,4,0,2,0,2,0,0,4,0,4,4,0,4,0,4,0,0,4,4,0
68e945628d6bb3c8b5c4adac,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c4519359b74389e434,Gondigudem,579214,0,3,0,2,0,1,0,2,1,3,0,2,0,1,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c4adad,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c4519359b74389e439,Choppumamide,579213,0,1,2,1,0,2,0,0,3,3,0,2,1,0,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c4adae,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c5519359b74389e43e,Nelakota,579210,0,1,2,3,0,0,0,1,2,3,0,1,0,2,0,0,3,0,3,3,0,2,1,3,0,0,3,3,0
68e945628d6bb3c8b5c4adaf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c5519359b74389e443,Kothapalle,579208,0,2,3,5,0,0,2,0,3,5,0,3,0,2,0,0,5,0,5,5,0,5,0,5,0,2,3,5,0
68e945628d6bb3c8b5c4adb0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c5519359b74389e448,Devarapalle,579207,0,2,1,2,1,0,1,0,2,3,0,3,0,0,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4adb1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c5519359b74389e44d,Stafordpeta,579200,0,0,3,2,0,1,0,0,3,3,0,1,0,2,0,0,3,0,3,3,0,2,1,3,0,0,3,3,0
68e945628d6bb3c8b5c4adb2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2d9,CHINTOOR,5062,63f998c5519359b74389e452,Yerrampeta,579198,0,2,0,0,2,0,0,1,1,2,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,1,1,2,0
