_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4b069,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa4519359b7438a18e7,Indukuru,586643,0,37,27,49,6,9,3,43,18,64,0,35,0,29,2,0,62,0,64,60,4,0,64,61,3,0,64,51,13
68e945628d6bb3c8b5c4b06a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa5519359b7438a18f6,Anguluru,586636,0,0,6,4,1,1,0,3,3,6,0,0,0,6,0,0,6,0,6,6,0,0,6,6,0,0,6,3,3
68e945628d6bb3c8b5c4b06b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa5519359b7438a18fb,Ravilanka,586641,0,4,10,11,0,3,0,4,10,14,0,8,0,6,0,0,14,0,14,13,1,0,14,14,0,0,14,14,0
68e945628d6bb3c8b5c4b06c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa5519359b7438a1900,Nelakota,586637,0,6,32,31,4,3,3,11,24,38,0,5,0,33,7,0,31,0,38,34,4,0,38,28,10,0,38,31,7
68e945628d6bb3c8b5c4b06d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa6519359b7438a191e,Nereduvalasa,586626,0,0,3,3,0,0,0,0,3,3,0,0,0,3,0,0,3,0,3,3,0,0,3,3,0,0,3,2,1
68e945628d6bb3c8b5c4b06e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa6519359b7438a1923,Choppakonda,586616,0,0,2,1,0,1,0,2,0,2,0,2,0,0,0,0,2,0,2,2,0,0,2,2,0,0,2,0,2
68e945628d6bb3c8b5c4b06f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa6519359b7438a1928,Pedduru,586611,0,11,8,17,0,2,0,6,13,19,0,14,0,5,0,0,19,0,19,19,0,1,18,19,0,0,19,17,2
68e945628d6bb3c8b5c4b070,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa7519359b7438a192d,Lakshmipuram,586624,0,1,6,4,0,3,0,1,6,7,0,0,0,7,1,0,6,0,7,7,0,0,7,3,4,0,7,5,2
68e945628d6bb3c8b5c4b071,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa7519359b7438a1937,Damanapalle,586620,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
68e945628d6bb3c8b5c4b072,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2db,DEVIPATNAM,4874,63f99aa7519359b7438a193c,Thatiwada,586610,0,5,5,9,0,1,2,3,5,10,0,0,0,10,0,0,10,0,10,10,0,0,10,10,0,0,10,10,0
