_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ae74,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f99946519359b74389f2d8,Pedapadu,583901,0,0,3,2,0,1,2,1,0,2,1,2,0,1,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4ae75,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f99947519359b74389f2e7,Pothangi,583899,0,8,6,9,2,3,5,1,8,10,4,2,2,10,0,0,14,0,13,13,1,13,1,14,0,1,13,14,0
68e945628d6bb3c8b5c4ae76,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f99947519359b74389f2f1,Billaputtu,583910,0,3,6,2,5,2,2,3,4,7,2,3,1,5,0,0,9,0,9,7,2,9,0,9,0,2,7,9,0
68e945628d6bb3c8b5c4ae77,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f99948519359b74389f2fb,Dumbriguda,583903,0,0,3,2,1,0,0,2,1,2,1,1,0,2,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4ae78,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f99948519359b74389f30a,Arama,583906,1,1,1,2,0,1,0,3,0,1,2,0,0,3,0,0,3,0,3,3,0,3,0,3,0,0,3,2,1
68e945628d6bb3c8b5c4ae79,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f99949519359b74389f332,Kinchumanda,583912,5,7,19,13,6,12,0,25,6,22,9,19,4,8,0,1,30,0,31,25,6,7,24,30,1,19,12,27,4
68e945628d6bb3c8b5c4ae7a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f9994a519359b74389f33c,Seelamgondi,583917,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4ae7b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f9994a519359b74389f341,Kithalangi,583919,3,5,20,21,2,5,0,15,13,22,6,27,0,0,0,0,23,0,23,28,0,28,0,27,1,1,27,28,0
68e945628d6bb3c8b5c4ae7c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f9994a519359b74389f350,Kusumavalasa,583913,1,1,4,1,5,0,0,6,0,4,2,4,0,2,0,0,6,0,6,6,0,0,6,6,0,6,0,6,0
68e945628d6bb3c8b5c4ae7d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2dd,DUMBRIGUDA,5592,63f9994b519359b74389f35a,Thutangi,583888,2,2,14,5,8,5,1,8,9,16,2,8,1,9,0,1,17,0,18,18,0,17,1,18,0,2,16,13,5
