_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4af6a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f999f5519359b7438a0613,Chilakala Mamidi,585088,0,4,3,6,0,1,5,0,2,7,0,2,2,3,0,0,7,0,7,5,2,5,2,7,0,3,4,5,2
68e945628d6bb3c8b5c4af6b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f999fb519359b7438a06b8,Kuddangi,585031,0,5,1,5,0,1,6,0,0,5,1,1,4,1,0,0,6,0,6,4,2,5,1,6,0,4,2,5,1
68e945628d6bb3c8b5c4af6c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a00519359b7438a073a,G.M.Kothuru,584969,0,3,4,6,1,0,7,0,0,6,1,0,4,3,0,0,7,0,7,6,1,7,0,7,0,5,2,7,0
68e945628d6bb3c8b5c4af6d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a01519359b7438a0762,P.G.Madugula,584958,0,5,2,7,0,0,3,0,4,6,1,4,3,0,0,0,7,0,7,6,1,6,1,7,0,6,1,7,0
68e945628d6bb3c8b5c4af6e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a02519359b7438a0776,Maddulabanda,584952,1,5,5,11,0,0,10,0,1,9,2,2,6,3,0,0,11,0,11,6,5,6,5,11,0,9,2,9,2
68e945628d6bb3c8b5c4af6f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a02519359b7438a078a,Luvvapalle,584947,0,2,4,5,0,1,6,0,0,5,1,3,3,0,0,0,6,0,6,5,1,5,1,6,0,5,1,5,1
68e945628d6bb3c8b5c4af70,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a03519359b7438a079e,Kinagari,584938,0,3,1,4,0,0,2,0,2,4,0,2,2,0,0,0,4,0,4,2,2,2,2,4,0,2,2,3,1
68e945628d6bb3c8b5c4af71,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a04519359b7438a07b2,Gedalabanda,584932,0,4,2,4,0,2,5,0,1,6,0,0,3,3,0,0,6,0,6,1,5,2,4,6,0,4,2,5,1
68e945628d6bb3c8b5c4af72,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a04519359b7438a07bc,Thoka Rai,584925,0,2,3,5,0,0,3,0,2,5,0,2,2,1,0,0,5,0,5,3,2,4,1,5,0,4,1,5,0
68e945628d6bb3c8b5c4af73,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e1,G.MADUGULA,5593,63f99a05519359b7438a07c6,Devarapalle,584922,0,10,4,12,1,1,13,0,1,13,1,3,6,5,0,0,13,0,14,4,10,8,6,14,0,9,5,12,2
