_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4b107,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae1519359b7438a1fa5,Pandrapottipalem,587090,4,0,4,0,6,2,0,7,1,8,0,6,0,2,0,1,6,0,8,7,1,4,4,7,1,4,4,8,0
68e945628d6bb3c8b5c4b108,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae1519359b7438a1faa,Barrimamidi,587075,0,0,6,3,0,3,0,6,0,4,2,5,0,1,0,0,6,2,4,6,0,3,3,3,3,1,5,6,0
68e945628d6bb3c8b5c4b109,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae1519359b7438a1faf,Rajupetaloddi,587116,0,0,17,5,8,4,0,15,2,16,1,2,2,13,0,0,16,0,17,17,0,2,15,15,2,0,17,17,0
68e945628d6bb3c8b5c4b10a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae2519359b7438a1fbe,B.Sivaramapatnam,587125,2,0,9,6,2,3,0,4,7,11,0,1,0,10,0,0,9,0,10,12,0,0,12,12,0,0,11,12,0
68e945628d6bb3c8b5c4b10b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae2519359b7438a1fc8,Ojubanda,587111,6,0,2,4,0,4,0,2,6,8,0,1,0,7,0,0,7,1,7,7,1,8,0,8,0,1,7,8,0
68e945628d6bb3c8b5c4b10c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae2519359b7438a1fcd,Pothandorapalem,587077,3,0,0,0,1,2,0,1,2,3,0,0,0,3,0,0,3,0,3,3,0,2,1,2,1,0,3,3,0
68e945628d6bb3c8b5c4b10d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae3519359b7438a1fd2,Karakapadu,587076,1,0,1,1,1,0,0,1,1,2,0,0,0,2,0,0,2,0,2,2,0,1,1,2,0,0,2,2,0
68e945628d6bb3c8b5c4b10e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae3519359b7438a1fd7,Kusumarai,587091,1,0,8,9,0,0,0,9,0,9,0,2,5,2,0,0,7,0,9,9,0,3,6,6,3,6,3,9,0
68e945628d6bb3c8b5c4b10f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae3519359b7438a1fdc,Marripalem,587079,1,0,8,0,8,1,0,6,3,9,0,0,0,9,0,0,9,0,9,9,0,0,9,7,2,0,9,9,0
68e945628d6bb3c8b5c4b110,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2df,GANGAVARAM,4876,63f99ae3519359b7438a1fe1,Amudalabanda,587099,0,0,4,2,2,0,0,4,0,4,0,0,0,4,0,0,4,0,4,4,0,1,3,4,0,4,0,4,0
