_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4afdb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5a519359b7438a10f3,Pilligondi,585395,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68e945628d6bb3c8b5c4afdc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5b519359b7438a10f8,Gangavaram,585392,4,5,14,4,5,14,0,23,0,21,2,9,1,13,0,0,23,0,23,11,12,0,23,23,0,16,7,23,0
68e945628d6bb3c8b5c4afdd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5c519359b7438a1111,Challanisilpa,585384,0,2,0,1,1,0,2,0,0,1,1,0,1,0,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68e945628d6bb3c8b5c4afde,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5c519359b7438a111b,Duppalawada,585386,0,4,6,7,2,1,2,3,5,10,0,0,2,8,0,0,10,0,10,8,2,0,10,10,0,0,10,8,2
68e945628d6bb3c8b5c4afdf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5c519359b7438a112a,Signapalle,585549,0,1,2,3,0,0,2,1,0,3,0,0,0,3,0,0,3,0,3,3,0,0,3,3,0,0,3,3,0
68e945628d6bb3c8b5c4afe0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5d519359b7438a112f,Damanapalle,585547,1,3,4,2,2,4,1,7,0,8,0,1,1,6,0,0,8,0,8,5,3,0,8,8,0,0,8,7,1
68e945628d6bb3c8b5c4afe1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5d519359b7438a113e,Madem,585546,0,4,4,3,4,1,4,0,4,6,2,3,1,4,0,0,8,0,8,8,0,0,8,8,0,0,8,7,1
68e945628d6bb3c8b5c4afe2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5f519359b7438a115c,Kattupalle,585544,0,0,2,1,1,0,2,0,0,2,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68e945628d6bb3c8b5c4afe3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a5f519359b7438a1161,Lingavaram,585545,0,1,4,2,3,0,2,1,2,5,0,0,0,5,0,0,5,0,5,5,0,0,5,5,0,0,5,5,0
68e945628d6bb3c8b5c4afe4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a60519359b7438a1184,Yerravaram,585535,0,4,17,17,2,2,4,7,10,20,1,1,1,19,0,0,21,0,21,21,0,0,21,21,0,0,21,20,1
68e945628d6bb3c8b5c4afe5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a61519359b7438a11a7,Peddavalasa,585505,0,6,2,4,4,0,1,4,3,6,2,1,0,7,0,0,8,0,8,6,2,1,7,8,0,0,8,8,0
68e945628d6bb3c8b5c4afe6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a62519359b7438a11c0,Kokkitapadu,585497,0,2,2,2,2,0,3,1,0,4,0,2,0,2,0,0,4,0,4,4,0,0,4,4,0,0,4,4,0
68e945628d6bb3c8b5c4afe7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a62519359b7438a11c5,Sagulu,585491,0,3,3,3,1,2,2,1,3,6,0,0,0,6,0,0,6,0,6,5,1,1,5,6,0,0,6,4,2
68e945628d6bb3c8b5c4afe8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a63519359b7438a11d9,Kunkkumpudi,585482,0,9,10,7,5,7,0,19,0,18,1,3,0,16,0,0,19,0,19,19,0,19,0,19,0,0,19,19,0
68e945628d6bb3c8b5c4afe9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a63519359b7438a11e3,Vanchula,585469,0,6,7,6,4,3,1,7,5,9,4,0,3,10,0,0,13,0,13,13,0,0,13,13,0,0,13,12,1
68e945628d6bb3c8b5c4afea,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a64519359b7438a1206,Mondigedda,585454,0,12,10,18,1,3,4,14,4,22,0,8,0,14,0,0,22,0,22,21,1,7,15,22,0,0,22,15,7
68e945628d6bb3c8b5c4afeb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a65519359b7438a1210,Adagarapalle,585450,0,2,5,4,1,2,2,4,1,6,1,0,6,1,0,0,7,0,7,7,0,3,4,7,0,0,7,7,0
68e945628d6bb3c8b5c4afec,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a68519359b7438a1279,Darakonda,585420,1,4,10,8,3,4,3,12,0,14,1,0,5,10,0,0,15,0,15,14,1,5,10,15,0,0,15,9,6
68e945628d6bb3c8b5c4afed,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a6a519359b7438a12ab,Agraharam,585390,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4afee,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a6a519359b7438a12b0,Kommarapalle,585387,0,1,4,3,2,0,1,0,4,5,0,3,0,2,0,0,5,0,5,5,0,0,5,5,0,0,5,5,0
68e945628d6bb3c8b5c4afef,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a6b519359b7438a12ba,Katragedda,585381,0,2,0,2,0,0,2,0,0,1,1,1,1,0,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68e945628d6bb3c8b5c4aff0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a6b519359b7438a12c4,Gummirevulu,585436,0,12,10,18,4,0,9,3,10,20,2,5,3,14,0,0,22,0,22,22,0,1,21,22,0,0,22,20,2
68e945628d6bb3c8b5c4aff1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a6c519359b7438a12d8,Yerracheruvulu,585494,0,1,22,17,2,4,8,8,7,21,2,2,0,21,0,0,23,0,23,20,3,11,12,23,0,0,23,22,1
68e945628d6bb3c8b5c4aff2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a6d519359b7438a12f1,Lakkavaram,585492,2,31,42,42,14,19,17,26,32,70,5,5,26,44,0,2,70,0,73,65,10,15,60,75,0,9,66,70,5
68e945628d6bb3c8b5c4aff3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a6e519359b7438a130f,Cherapalle,585473,0,3,2,4,1,0,2,2,1,3,2,1,2,2,0,0,5,0,5,5,0,0,5,5,0,0,5,4,1
68e945628d6bb3c8b5c4aff4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a6e519359b7438a131e,Kongapakalu,585423,0,5,0,5,0,0,2,0,3,5,0,0,0,5,0,0,5,0,5,5,0,2,3,5,0,0,5,5,0
68e945628d6bb3c8b5c4aff5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a6f519359b7438a1337,Kotturu,585421,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68e945628d6bb3c8b5c4aff6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a70519359b7438a1346,Rampulu,585498,0,5,3,0,6,2,0,2,6,7,1,1,0,7,0,0,8,0,8,8,0,0,8,8,0,0,8,8,0
68e945628d6bb3c8b5c4aff7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a70519359b7438a1355,Chaparathipalem,585499,0,1,1,1,0,1,2,0,0,1,1,0,1,1,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68e945628d6bb3c8b5c4aff8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a72519359b7438a137d,Doddikonda,585543,0,1,1,2,0,0,0,2,0,1,1,0,2,0,0,0,2,0,2,2,0,0,2,2,0,2,0,2,0
68e945628d6bb3c8b5c4aff9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a72519359b7438a138c,Mangalapalem,585517,0,4,6,7,1,2,1,4,5,9,1,0,3,7,0,1,9,0,10,9,1,6,4,10,0,0,9,8,2
68e945628d6bb3c8b5c4affa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a73519359b7438a13aa,Rinthada,585526,0,6,17,12,4,7,10,5,8,23,0,0,7,16,0,0,23,0,23,23,0,2,21,23,0,0,23,21,2
68e945628d6bb3c8b5c4affb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a73519359b7438a13b4,Ducharapalem,585527,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4affc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a74519359b7438a13be,Devarapalle,585518,0,0,4,3,0,1,2,2,0,4,0,0,2,2,0,0,3,0,4,4,0,3,1,4,0,0,4,2,2
68e945628d6bb3c8b5c4affd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a75519359b7438a13d7,Kotnabilli,585523,0,1,4,5,0,0,0,2,3,5,0,1,1,3,0,0,5,0,5,5,0,1,4,5,0,0,5,5,0
68e945628d6bb3c8b5c4affe,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a76519359b7438a13f5,Rallagedda,585389,0,1,4,5,0,0,1,1,3,5,0,0,2,3,0,0,5,0,5,5,0,0,5,5,0,0,5,5,0
68e945628d6bb3c8b5c4afff,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e3,GUDEM KOTHA VEEDHI,5596,63f99a76519359b7438a1404,Kondrupalle,585400,0,13,10,18,2,3,12,4,7,21,2,3,0,20,0,0,23,0,23,20,3,1,22,23,0,0,23,23,0
