_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4af08,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999ae519359b74389fe3a,Pusalagaruvu,584514,0,0,2,2,0,0,0,1,1,2,0,0,1,1,0,0,2,0,2,2,0,1,1,2,0,0,2,2,0
68e945628d6bb3c8b5c4af09,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b1519359b74389fe85,Chittampadu,584563,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68e945628d6bb3c8b5c4af0a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b1519359b74389fe8f,Goppulapalem,584572,0,0,2,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68e945628d6bb3c8b5c4af0b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b1519359b74389fe94,Dabbagaruvu,584558,4,7,19,19,4,7,4,5,21,27,3,2,1,27,0,0,30,0,30,26,4,0,30,30,0,2,28,30,0
68e945628d6bb3c8b5c4af0c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b2519359b74389fe99,Bakuru,584562,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4af0d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b2519359b74389fead,Kethampalem,584555,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,2,0,2,2,0,1,1,2,0,0,2,2,0
68e945628d6bb3c8b5c4af0e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b3519359b74389feb7,M.Kothavuru,584449,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68e945628d6bb3c8b5c4af0f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b3519359b74389febc,Mulusobha,584537,0,0,6,2,2,2,0,1,5,6,0,3,0,3,0,0,6,0,6,4,1,0,6,6,0,1,5,6,0
68e945628d6bb3c8b5c4af10,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b3519359b74389fec1,Matham,584450,1,2,0,1,1,1,0,2,1,3,0,1,0,2,0,0,3,0,3,3,0,0,3,3,0,3,0,3,0
68e945628d6bb3c8b5c4af11,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e5,HUKUMPETA,5597,63f999b3519359b74389fed0,Pattam,584505,0,3,11,9,2,3,1,4,9,13,1,4,0,10,0,0,14,0,14,14,0,1,13,14,0,0,14,14,0
