_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4b003,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7a519359b7438a1460,Kinchavanipalem,585596,1,0,3,2,0,2,3,0,1,4,0,0,0,4,0,0,4,0,4,4,0,0,4,4,0,4,0,4,0
68e945628d6bb3c8b5c4b004,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7a519359b7438a1474,Chintalapudi,585614,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4b005,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7b519359b7438a1483,Anthada,912629,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68e945628d6bb3c8b5c4b006,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7d519359b7438a14a6,Anthada,585678,2,0,6,8,0,0,2,2,4,8,0,4,0,4,0,0,8,0,8,8,0,0,8,8,0,5,3,8,0
68e945628d6bb3c8b5c4b007,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7e519359b7438a14c9,Ratnampeta,585692,0,2,5,7,0,0,3,1,3,7,0,0,0,7,0,0,7,0,7,6,1,0,7,7,0,7,0,7,0
68e945628d6bb3c8b5c4b008,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7e519359b7438a14ce,Kondagokira,585693,0,0,2,2,0,0,0,2,0,2,0,0,2,0,0,0,2,0,2,2,0,0,2,2,0,2,0,2,0
68e945628d6bb3c8b5c4b009,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7e519359b7438a14d3,Ravanapalle,585685,0,0,2,2,0,0,0,1,1,2,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,2,0,2,0
68e945628d6bb3c8b5c4b00a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7f519359b7438a14d8,Kommika,585687,0,6,18,12,3,9,8,5,11,24,0,5,4,15,0,0,24,0,24,19,5,0,24,24,0,17,7,24,0
68e945628d6bb3c8b5c4b00b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7f519359b7438a14dd,Kinaparthi,585673,1,0,2,3,0,0,2,0,1,3,0,0,2,1,0,0,3,0,3,2,1,0,3,3,0,3,0,3,0
68e945628d6bb3c8b5c4b00c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7f519359b7438a14e7,Yerrinaidu Pakalu,585682,0,1,2,3,0,0,0,3,0,3,0,0,0,3,0,0,3,0,3,2,1,0,3,3,0,3,0,3,0
68e945628d6bb3c8b5c4b00d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a7f519359b7438a14ec,Koppukonda,585683,0,0,2,2,0,0,0,1,1,2,0,0,2,0,0,0,2,0,2,1,1,0,2,2,0,2,0,2,0
68e945628d6bb3c8b5c4b00e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a80519359b7438a14f6,Mulagalametta,585675,0,4,0,4,0,0,4,0,0,4,0,0,0,4,0,0,4,0,4,4,0,0,4,4,0,4,0,4,0
68e945628d6bb3c8b5c4b00f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e7,KOYYURU,5601,63f99a80519359b7438a150a,Pedamakavaram,585670,0,2,1,3,0,0,1,1,1,3,0,3,0,0,0,0,3,0,3,3,0,0,3,3,0,2,1,3,0
