_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ad82,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998b9519359b74389e2ed,Repaka,579100,0,7,4,4,4,3,0,9,2,11,0,11,0,0,10,0,0,0,10,12,0,10,1,12,0,0,11,12,0
68e945628d6bb3c8b5c4ad83,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998b9519359b74389e2f2,Koderu,579089,0,2,2,3,0,1,0,2,2,4,0,4,0,0,4,0,0,0,4,4,0,4,0,4,0,0,4,4,0
68e945628d6bb3c8b5c4ad84,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998b9519359b74389e2f7,Karakagudem,579124,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4ad85,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998ba519359b74389e2fc,Jaggavaram,579129,0,2,3,4,0,1,2,2,1,5,0,3,0,2,5,0,0,0,5,5,0,5,0,5,0,0,5,5,0
68e945628d6bb3c8b5c4ad86,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998ba519359b74389e306,Abicherla,579095,0,17,4,12,2,7,1,13,7,21,0,18,0,3,13,0,8,0,21,21,0,0,21,20,1,20,1,20,1
68e945628d6bb3c8b5c4ad87,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bb519359b74389e324,Peddarukur,579103,0,15,7,11,5,6,1,15,6,22,0,19,0,3,14,0,7,0,22,22,0,20,2,21,1,0,22,21,1
68e945628d6bb3c8b5c4ad88,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bb519359b74389e32e,Byravapatnam,579105,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4ad89,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bb519359b74389e333,Regulapadu,579093,0,2,5,5,0,2,1,5,1,7,0,7,0,0,7,0,0,0,7,7,0,7,0,7,0,0,7,7,0
68e945628d6bb3c8b5c4ad8a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bc519359b74389e338,Walfordpeta,579108,0,2,4,4,1,1,0,0,6,6,0,4,0,2,3,1,2,0,6,6,0,6,0,6,0,0,6,4,2
68e945628d6bb3c8b5c4ad8b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bc519359b74389e33d,Chinnarukur,579106,0,4,2,5,1,0,2,1,3,6,0,6,0,0,6,0,0,0,6,6,0,6,0,6,0,0,6,6,0
68e945628d6bb3c8b5c4ad8c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bd519359b74389e360,S.Kothagudem,579142,0,5,3,7,0,1,0,0,8,8,1,7,0,1,8,0,0,0,8,9,0,9,0,9,0,0,9,9,0
68e945628d6bb3c8b5c4ad8d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bd519359b74389e36a,Kunavaram,579138,0,5,28,23,6,4,0,15,18,33,0,26,0,6,33,0,0,0,33,33,0,31,2,33,0,0,33,33,0
68e945628d6bb3c8b5c4ad8e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bd519359b74389e36f,Bhagavanpuram,579099,0,0,2,1,0,1,0,1,1,2,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,0,2,2,0
68e945628d6bb3c8b5c4ad8f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998be519359b74389e374,VENKANNAGUDEM,930958,0,1,3,3,0,1,0,1,3,4,0,0,0,4,2,0,2,0,4,0,4,0,4,4,0,4,0,4,0
68e945628d6bb3c8b5c4ad90,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998be519359b74389e379,Kudalipadu,579115,0,4,3,6,0,1,0,3,4,7,0,0,0,7,7,0,0,0,7,7,0,7,0,7,0,0,7,7,0
68e945628d6bb3c8b5c4ad91,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998be519359b74389e37e,Metta Ramavaram,579102,0,7,2,4,2,3,0,1,8,9,0,5,0,4,8,0,1,0,9,6,3,6,3,9,0,3,6,9,0
68e945628d6bb3c8b5c4ad92,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998be519359b74389e383,Pandirajupalle,579110,0,2,6,5,2,1,0,1,7,8,0,4,0,4,7,0,1,0,8,1,7,0,8,8,0,8,0,7,1
68e945628d6bb3c8b5c4ad93,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998be519359b74389e388,Dugutta,579116,0,7,5,7,2,3,2,7,3,9,3,12,0,0,12,0,0,0,12,12,0,12,0,12,0,0,12,12,0
68e945628d6bb3c8b5c4ad94,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998be519359b74389e38d,Chinnapolipaka,579119,0,2,3,3,2,0,0,5,0,5,0,5,0,0,5,0,0,0,5,5,0,5,0,5,0,0,5,5,0
68e945628d6bb3c8b5c4ad95,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bf519359b74389e392,Kondarajupeta,579141,1,2,9,10,2,0,0,5,7,12,0,8,0,4,12,0,0,0,12,12,0,9,3,12,0,0,12,12,0
68e945628d6bb3c8b5c4ad96,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bf519359b74389e397,Gunduvarigudem,579118,0,3,2,3,0,2,0,3,2,5,0,5,0,0,5,0,0,0,5,5,0,5,0,5,0,0,5,5,0
68e945628d6bb3c8b5c4ad97,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bf519359b74389e39c,Pedda Polipaka,579120,0,4,1,4,1,0,0,1,4,5,0,5,0,0,5,0,0,0,5,5,0,5,0,5,0,0,5,5,0
68e945628d6bb3c8b5c4ad98,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2e9,KUNAVARAM,5076,63f998bf519359b74389e3a1,Ayyavarigudem,579113,0,5,3,3,0,5,0,7,1,8,0,7,0,1,8,0,0,0,8,8,0,7,1,8,0,0,8,8,0
