_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4b030,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a97519359b7438a1787,Nukaletivada,586551,0,1,1,1,0,1,0,2,0,2,1,0,0,2,0,0,2,0,2,1,2,2,1,3,0,0,3,3,0
68e945628d6bb3c8b5c4b031,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a97519359b7438a178c,Akumamidikota,586548,0,4,5,3,4,2,1,1,7,1,8,0,1,8,0,0,9,0,9,1,8,5,4,6,3,0,9,9,0
68e945628d6bb3c8b5c4b032,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a98519359b7438a179b,Kakuru,586563,0,0,2,2,0,0,0,2,0,2,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
68e945628d6bb3c8b5c4b033,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a98519359b7438a17a0,Vuthaluru,586558,0,7,3,10,0,0,0,6,4,10,0,1,0,9,0,0,10,0,10,9,1,10,0,10,0,3,7,10,0
68e945628d6bb3c8b5c4b034,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a99519359b7438a17a5,Madduluru,586571,0,3,0,1,1,1,0,3,0,3,0,0,0,3,0,0,3,0,3,3,0,1,2,3,0,0,3,3,0
68e945628d6bb3c8b5c4b035,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a99519359b7438a17af,Pusiwada,586546,0,2,1,1,1,1,0,0,3,2,1,0,0,3,0,0,3,0,3,2,1,1,2,0,3,0,3,3,0
68e945628d6bb3c8b5c4b036,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a99519359b7438a17b4,Pandirimamidikota,586567,0,0,3,0,0,3,0,2,1,3,0,0,0,3,0,0,3,0,3,2,1,1,2,3,0,0,3,2,1
68e945628d6bb3c8b5c4b037,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a99519359b7438a17b9,Vetukuru,586569,0,2,5,3,2,2,0,5,2,7,0,0,0,7,0,0,7,0,7,5,2,4,3,5,2,0,7,0,7
68e945628d6bb3c8b5c4b038,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a99519359b7438a17be,Kadumuru,586578,0,14,2,16,0,0,0,16,0,14,2,8,0,8,0,1,14,0,16,15,1,16,0,15,1,0,16,16,0
68e945628d6bb3c8b5c4b039,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2eb,MAREDUMILLI,4895,63f99a9a519359b7438a17c3,Ramannavalasa,586580,0,7,6,12,0,1,6,0,7,10,3,1,0,12,0,0,13,0,13,12,1,13,0,12,1,2,11,13,0
