_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ae03,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998dd519359b74389e70d,Ontiputtu,583409,0,6,5,10,0,1,0,0,11,10,1,0,0,11,0,0,11,0,11,11,0,10,1,11,0,11,0,11,0
68e945628d6bb3c8b5c4ae04,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998de519359b74389e717,Jangam Puttu,583540,0,7,2,8,0,1,0,4,5,9,0,1,0,8,0,0,9,0,9,9,0,0,9,9,0,0,9,7,2
68e945628d6bb3c8b5c4ae05,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998de519359b74389e72b,Kumada,583512,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68e945628d6bb3c8b5c4ae06,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998e0519359b74389e749,Tudumurai,583498,0,5,1,6,0,0,0,2,4,6,0,0,0,6,0,0,6,0,6,6,0,3,3,6,0,1,5,6,0
68e945628d6bb3c8b5c4ae07,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998e0519359b74389e74e,Degalaputtu,583406,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4ae08,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998e1519359b74389e771,Pedatamminagula,583397,0,4,3,3,0,4,0,5,2,7,0,0,4,3,0,0,7,0,7,5,2,3,4,7,0,0,7,7,0
68e945628d6bb3c8b5c4ae09,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998e3519359b74389e7a3,Borramamidi,583356,0,4,1,5,0,0,1,0,4,5,0,0,0,5,0,0,5,0,5,5,0,5,0,5,0,5,0,5,0
68e945628d6bb3c8b5c4ae0a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998e3519359b74389e7b7,Raipalli,583530,0,21,8,27,0,2,2,12,15,26,3,3,0,26,0,0,29,0,29,29,0,23,6,29,0,22,7,27,2
68e945628d6bb3c8b5c4ae0b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998e5519359b74389e7df,Antabongu,583361,0,0,5,5,0,0,0,2,3,3,2,1,0,4,0,0,5,0,5,5,0,2,3,5,0,2,3,5,0
68e945628d6bb3c8b5c4ae0c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998e7519359b74389e81b,Antlavada,583389,0,1,2,3,0,0,0,0,3,3,0,3,0,0,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c4ae0d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998e8519359b74389e83e,Sujanakotapeta,583371,0,2,2,4,0,0,1,0,3,4,0,0,0,4,0,0,4,0,4,3,1,2,2,4,0,4,0,4,0
68e945628d6bb3c8b5c4ae0e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998e9519359b74389e861,Dabuguda,583274,0,1,1,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68e945628d6bb3c8b5c4ae0f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ed,MUNCHINGI PUTTU,5605,63f998ea519359b74389e86b,Garram,583351,0,5,2,7,0,0,0,3,4,7,0,1,0,6,0,0,7,0,7,7,0,6,1,7,0,6,1,7,0
