_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4af34,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999cc519359b7438a0189,Raigedda,584613,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68e945628d6bb3c8b5c4af35,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999cc519359b7438a018e,Kinchuru,584594,0,1,4,1,3,1,3,0,2,4,1,0,0,5,0,0,5,0,5,0,5,0,5,1,4,0,5,5,0
68e945628d6bb3c8b5c4af36,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999cc519359b7438a01a2,Gurupalle,584665,0,21,0,0,21,0,0,21,0,0,21,3,7,11,0,21,0,0,21,0,21,8,13,17,4,7,14,0,21
68e945628d6bb3c8b5c4af37,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999cd519359b7438a01c0,Vanthadapalle,584684,3,11,18,8,13,11,1,13,18,26,6,14,0,18,0,0,30,1,30,16,16,22,10,29,3,7,25,31,1
68e945628d6bb3c8b5c4af38,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999ce519359b7438a01ca,Thumpada,584678,0,10,14,8,9,7,0,9,15,23,1,2,1,21,0,1,23,0,24,7,17,16,8,22,2,1,23,23,1
68e945628d6bb3c8b5c4af39,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999cf519359b7438a01ed,Ubbediputtu,584658,0,6,1,2,5,0,0,5,2,7,0,1,0,6,0,0,7,0,7,3,4,5,2,7,0,1,6,7,0
68e945628d6bb3c8b5c4af3a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999cf519359b7438a01f2,Kummariputtu,584659,0,9,4,2,10,1,8,0,5,13,0,3,0,10,0,0,13,0,13,8,5,8,5,10,3,4,9,13,0
68e945628d6bb3c8b5c4af3b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d0519359b7438a020b,Chintala Veedhi,584657,0,4,5,0,9,0,0,2,7,8,1,1,0,8,0,0,9,0,9,6,3,9,0,9,0,0,9,9,0
68e945628d6bb3c8b5c4af3c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d0519359b7438a0210,Pathapaderu,584655,0,13,1,0,14,1,0,13,2,2,13,1,5,8,0,12,2,0,14,0,15,6,9,10,5,5,10,2,13
68e945628d6bb3c8b5c4af3d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d1519359b7438a0215,Nereduvalasa,584642,0,1,1,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,2,1,1,2,0,2,0,0,2,2,0
68e945628d6bb3c8b5c4af3e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d1519359b7438a021f,Gabbangi,584639,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
68e945628d6bb3c8b5c4af3f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d1519359b7438a0224,Panasapalle,584641,0,10,14,2,19,3,9,6,9,21,3,9,3,12,0,0,24,0,24,13,11,16,8,24,0,0,24,24,0
68e945628d6bb3c8b5c4af40,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac5680216eb6c93e2ef,PADERU,5609,63f999d1519359b7438a0229,Dalimputtu,584640,0,5,1,1,4,1,4,0,2,6,0,1,0,5,0,0,6,0,6,0,6,1,5,6,0,0,6,6,0
