_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4b0e6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad6519359b7438a1e6f,Bornagudem,586935,0,0,5,1,3,1,0,4,1,5,0,0,2,3,0,0,5,0,5,5,0,0,5,5,0,5,0,5,0
68e945628d6bb3c8b5c4b0e7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad6519359b7438a1e79,Kondalingamparthi,586938,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68e945628d6bb3c8b5c4b0e8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad7519359b7438a1e8d,Komarapuram,586925,0,0,7,1,1,5,0,7,0,7,0,7,0,0,0,0,7,0,7,3,4,0,7,7,0,7,0,5,2
68e945628d6bb3c8b5c4b0e9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad7519359b7438a1e92,Thantikonda,586915,0,2,15,8,6,3,0,5,12,17,0,3,0,14,0,0,17,0,17,10,7,0,17,17,0,17,0,7,10
68e945628d6bb3c8b5c4b0ea,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad7519359b7438a1e97,Singampalle,586917,0,2,12,8,0,6,0,13,1,14,0,0,1,13,0,0,14,0,14,14,0,0,14,14,0,14,0,14,0
68e945628d6bb3c8b5c4b0eb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad8519359b7438a1e9c,Yerrampadu,586916,0,0,8,5,1,2,0,4,4,8,0,2,0,6,0,0,8,0,8,8,0,0,8,8,0,8,0,7,1
68e945628d6bb3c8b5c4b0ec,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad8519359b7438a1eab,Murlavanipalem,586912,0,0,3,0,1,2,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0,3,3,0,3,0,3,0
68e945628d6bb3c8b5c4b0ed,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad9519359b7438a1eba,Rajavommangi,586906,0,17,23,21,13,6,0,20,20,39,1,1,1,38,0,1,39,0,40,6,34,0,40,40,0,40,0,40,0
68e945628d6bb3c8b5c4b0ee,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad9519359b7438a1ec9,Surampalem,586898,0,0,9,3,4,2,0,5,4,9,0,6,1,2,0,0,9,0,9,9,0,0,9,9,0,9,0,9,0
68e945628d6bb3c8b5c4b0ef,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ad9519359b7438a1ece,Labbarthi,586899,0,1,2,2,0,1,0,3,0,3,0,0,0,3,0,0,3,0,3,0,3,0,3,3,0,3,0,1,2
68e945628d6bb3c8b5c4b0f0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ada519359b7438a1ed3,Damanapalem,586888,0,7,3,8,0,2,0,8,2,10,0,10,0,0,0,0,10,0,10,10,0,0,10,10,0,10,0,10,0
68e945628d6bb3c8b5c4b0f1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ada519359b7438a1ed8,Kondapalle,586892,0,4,6,10,0,0,0,9,1,10,0,0,1,9,0,0,10,0,10,10,0,0,10,10,0,10,0,7,3
68e945628d6bb3c8b5c4b0f2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ada519359b7438a1edd,Kindra,586890,0,1,8,6,2,1,0,8,1,9,0,3,0,6,0,0,9,0,9,7,2,0,9,9,0,9,0,9,0
68e945628d6bb3c8b5c4b0f3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adb519359b7438a1ef1,Vanakarayi,586885,0,2,8,6,2,2,0,6,4,10,0,5,0,5,0,0,10,0,10,10,0,0,10,10,0,10,0,10,0
68e945628d6bb3c8b5c4b0f4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adb519359b7438a1ef6,Sarabhavaram,586886,0,0,10,7,1,2,0,2,8,10,0,1,0,9,0,0,10,0,10,9,1,0,10,10,0,10,0,10,0
68e945628d6bb3c8b5c4b0f5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adb519359b7438a1efb,Vokurthi,586926,0,0,3,2,1,0,0,0,3,3,0,0,0,3,0,0,3,0,3,3,0,0,3,3,0,3,0,1,2
68e945628d6bb3c8b5c4b0f6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adb519359b7438a1f05,Chikilinta,586931,0,8,3,4,1,6,0,10,1,11,0,9,0,2,0,0,11,0,11,11,0,0,11,11,0,11,0,11,0
68e945628d6bb3c8b5c4b0f7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adc519359b7438a1f0a,Boyapadu,586884,0,0,10,6,3,1,0,9,1,10,0,0,1,9,0,0,10,0,10,10,0,0,10,10,0,10,0,10,0
68e945628d6bb3c8b5c4b0f8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adc519359b7438a1f0f,Velagalapalem,586922,0,0,2,0,1,1,0,0,2,2,0,2,0,0,0,0,2,0,2,0,2,0,2,2,0,2,0,2,0
68e945628d6bb3c8b5c4b0f9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adc519359b7438a1f14,Jaddangi,586923,0,11,20,16,8,7,0,22,9,31,0,24,0,7,0,0,31,0,31,31,0,1,30,31,0,31,0,31,0
68e945628d6bb3c8b5c4b0fa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adc519359b7438a1f1e,Karudevipalem,586932,0,6,14,4,8,8,0,16,4,20,0,1,0,19,0,0,20,0,20,20,0,0,20,20,0,19,1,16,4
68e945628d6bb3c8b5c4b0fb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adc519359b7438a1f23,Pedarellangipadu,586929,0,0,2,2,0,0,0,1,1,2,0,1,0,1,0,0,2,0,2,0,2,0,2,2,0,2,0,2,0
68e945628d6bb3c8b5c4b0fc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99add519359b7438a1f28,Vogipalem,586927,0,1,5,4,1,1,0,0,6,6,0,5,0,1,0,0,6,0,6,1,5,0,6,6,0,6,0,0,6
68e945628d6bb3c8b5c4b0fd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99add519359b7438a1f2d,Vatangi,586928,0,2,9,4,4,3,0,5,6,11,0,11,0,0,0,0,11,1,10,7,4,0,11,11,0,11,0,11,0
68e945628d6bb3c8b5c4b0fe,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99add519359b7438a1f41,Donelapalem,586920,0,5,4,5,1,3,0,9,0,9,0,8,0,1,0,0,9,0,9,9,0,0,9,9,0,9,0,9,0
68e945628d6bb3c8b5c4b0ff,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ade519359b7438a1f46,Subbampadu,586913,0,0,4,1,1,2,0,2,2,4,0,0,0,4,0,0,4,0,4,4,0,0,4,4,0,4,0,4,0
68e945628d6bb3c8b5c4b100,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ade519359b7438a1f4b,Gobbilamadugu,586918,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68e945628d6bb3c8b5c4b101,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ade519359b7438a1f5a,Gaduvakurthi,586902,0,4,16,13,4,3,0,17,3,20,0,16,0,4,0,0,20,0,20,20,0,0,20,20,0,20,0,20,0
68e945628d6bb3c8b5c4b102,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adf519359b7438a1f5f,Dusaripamu,586905,0,9,9,12,5,1,0,18,0,18,0,12,0,6,0,0,18,0,18,18,0,0,18,18,0,18,0,18,0
68e945628d6bb3c8b5c4b103,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adf519359b7438a1f64,Chinarellangipadu,586895,0,5,6,6,5,0,0,11,0,11,0,5,0,6,0,0,11,0,11,11,0,0,11,11,0,11,0,11,0
68e945628d6bb3c8b5c4b104,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adf519359b7438a1f73,Badadanampalle,586894,0,5,15,11,8,1,0,16,4,20,0,2,0,18,0,0,20,0,20,20,0,0,20,20,0,20,0,20,0
68e945628d6bb3c8b5c4b105,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99adf519359b7438a1f78,Marripalem,586934,0,2,14,7,2,7,0,13,3,16,0,1,3,12,0,0,16,0,16,0,16,0,16,16,0,16,0,12,4
68e945628d6bb3c8b5c4b106,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f3,RAJAVOMMANGI,4905,63f99ae0519359b7438a1f8c,Aminabada,586924,0,19,12,11,11,9,0,16,15,31,0,8,2,21,0,0,31,0,31,28,3,1,30,31,0,23,8,29,2
