_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4b12f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99aec519359b7438a20d8,Eethapalle,587130,0,3,0,2,0,1,0,3,0,2,1,0,0,3,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4b130,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99aec519359b7438a20e7,Madicherla,587140,0,2,1,2,0,1,0,2,1,3,0,0,0,3,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4b131,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99aed519359b7438a20f1,Musurumilli,587191,0,2,4,5,0,1,0,4,2,3,3,4,0,2,0,0,6,0,6,6,0,6,0,6,0,0,6,6,0
68e945628d6bb3c8b5c4b132,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99aed519359b7438a2105,Peda Barangi,587190,0,1,3,1,0,3,0,4,0,4,0,0,0,4,0,0,4,0,4,4,0,4,0,4,0,0,4,4,0
68e945628d6bb3c8b5c4b133,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99aee519359b7438a2114,Ginnepalle,587182,0,2,8,7,1,2,0,7,3,7,3,6,0,4,0,0,10,0,10,8,2,9,1,9,1,1,9,10,0
68e945628d6bb3c8b5c4b134,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99aee519359b7438a211e,T.Burugubanda,587174,0,16,18,23,4,7,3,17,14,31,3,11,1,22,0,0,34,0,34,30,4,34,0,34,0,0,34,34,0
68e945628d6bb3c8b5c4b135,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99aef519359b7438a2128,B. Velamalakota,587176,0,4,8,6,4,2,0,9,3,12,0,4,0,8,0,0,12,0,12,12,0,2,10,12,0,0,12,12,0
68e945628d6bb3c8b5c4b136,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99aef519359b7438a212d,Usirikajonalu,587177,0,1,2,2,1,0,0,2,1,3,0,2,0,1,0,0,3,0,3,3,0,0,3,3,0,3,0,3,0
68e945628d6bb3c8b5c4b137,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99aef519359b7438a2132,Sirigindalapadu,587171,0,16,16,24,3,5,0,20,12,32,0,8,1,23,0,0,32,0,32,28,4,32,0,32,0,0,32,32,0
68e945628d6bb3c8b5c4b138,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99af0519359b7438a214b,Nallagonda,587167,0,2,3,5,0,0,0,3,2,5,0,0,0,5,0,0,5,0,5,5,0,5,0,5,0,0,5,5,0
68e945628d6bb3c8b5c4b139,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99af1519359b7438a215f,Vadapalle,587144,0,4,7,8,0,3,0,8,3,11,0,0,0,11,0,0,11,0,11,11,0,11,0,11,0,0,11,11,0
68e945628d6bb3c8b5c4b13a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99af1519359b7438a2164,Gunjugudem,587142,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68e945628d6bb3c8b5c4b13b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99af1519359b7438a2169,Sokulagudem,587160,0,2,1,3,0,0,0,3,0,3,0,1,0,2,0,0,3,0,3,1,2,3,0,3,0,0,3,3,0
68e945628d6bb3c8b5c4b13c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f5,RAMPACHODAVARAM,4907,63f99af1519359b7438a216e,Dabbavalasa,587159,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
