_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4adea,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d3519359b74389e5df,Annavaram,579267,0,7,3,6,0,4,0,5,5,10,0,7,0,3,0,0,10,0,10,10,0,0,10,10,0,10,0,10,0
68e945628d6bb3c8b5c4adeb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d3519359b74389e5ee,Waddegudem,579269,0,32,15,41,4,2,4,7,36,47,0,9,0,38,2,0,45,0,47,47,0,43,4,47,0,4,43,36,11
68e945628d6bb3c8b5c4adec,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d3519359b74389e5f3,Pochavaram,579290,0,1,6,4,0,3,0,0,7,7,0,1,0,6,0,0,7,0,7,7,0,2,5,7,0,5,2,7,0
68e945628d6bb3c8b5c4aded,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d4519359b74389e5fd,Mulkapalle,579283,0,0,3,2,0,1,0,1,2,3,0,0,0,3,0,0,3,0,3,3,0,2,1,3,0,1,2,3,0
68e945628d6bb3c8b5c4adee,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d4519359b74389e602,Isunuru,579282,0,0,5,4,0,1,0,2,3,5,0,0,0,5,0,0,5,0,5,5,0,1,4,5,0,4,1,5,0
68e945628d6bb3c8b5c4adef,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d4519359b74389e607,Kottarugommu,579281,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68e945628d6bb3c8b5c4adf0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d4519359b74389e60c,Rekapalle,579271,0,23,6,17,3,9,1,10,18,29,0,10,3,16,1,0,28,0,29,29,0,0,29,29,0,29,0,29,0
68e945628d6bb3c8b5c4adf1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d6519359b74389e634,Kokkiragudem,579249,0,3,2,3,0,2,0,1,4,5,0,1,0,4,0,0,5,0,5,5,0,5,0,5,0,0,5,5,0
68e945628d6bb3c8b5c4adf2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d6519359b74389e639,Peddamattapalle,579263,0,39,9,35,3,10,5,9,34,47,1,13,3,32,0,0,48,0,48,48,0,44,4,48,0,4,44,48,0
68e945628d6bb3c8b5c4adf3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2f7,VARARAMACHANDRAPURAM,5091,63f998d6519359b74389e63e,Chintharajupalle,579259,0,10,5,8,4,3,0,5,10,15,0,10,0,5,0,0,15,0,15,15,0,12,3,15,0,3,12,15,0
