_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4b07f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99aad519359b7438a19f2,Mangampadu,586648,0,4,0,1,3,0,0,2,2,4,0,0,0,4,0,0,4,0,4,4,0,2,2,4,0,0,4,4,0
68e945628d6bb3c8b5c4b080,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99aae519359b7438a1a01,Donkarai,586645,0,0,3,0,1,2,0,0,3,3,0,0,0,3,0,0,3,0,3,3,0,1,2,3,0,0,3,3,0
68e945628d6bb3c8b5c4b081,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99aaf519359b7438a1a15,G.Vattigedda,586686,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4b082,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99ab0519359b7438a1a3d,Kadarikota,586688,0,0,5,5,0,0,0,1,4,4,1,5,0,0,0,0,5,0,5,5,0,5,0,5,0,0,5,5,0
68e945628d6bb3c8b5c4b083,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99ab1519359b7438a1a65,Pathakota,586663,0,0,3,1,1,1,0,2,1,2,1,3,0,0,0,0,3,0,3,3,0,1,2,3,0,0,3,3,0
68e945628d6bb3c8b5c4b084,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99ab2519359b7438a1a79,Vedullapalle,586753,0,0,6,3,2,1,1,1,4,5,1,2,0,4,0,0,6,0,6,6,0,4,2,6,0,0,6,6,0
68e945628d6bb3c8b5c4b085,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99ab2519359b7438a1a7e,Sirimetla,586754,0,0,5,0,2,3,0,3,2,4,1,4,0,1,0,0,5,0,5,5,0,3,2,5,0,0,5,5,0
68e945628d6bb3c8b5c4b086,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99ab2519359b7438a1a88,Nakkalapadu,586778,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
68e945628d6bb3c8b5c4b087,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99ab3519359b7438a1a97,Gandempalle,586773,0,3,0,3,0,0,0,0,3,3,0,0,0,3,0,0,3,0,3,3,0,2,1,3,0,0,3,3,0
68e945628d6bb3c8b5c4b088,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f998b9519359b74389e2e8,Alluri Sitharama Raju,745,6492fac6680216eb6c93e2fb,Y. RAMAVARAM,4920,63f99ab3519359b7438a1aa1,Kota,586767,0,0,8,5,2,1,0,3,5,8,0,6,0,2,0,5,3,0,8,8,0,7,1,8,0,0,8,8,0
