_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ac77,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99877519359b74389dbb2,ANAKAPALLE NORTH,929947,6,46,21,56,2,15,46,8,19,68,5,8,43,22,0,0,73,0,73,66,7,72,1,70,3,72,1,61,12
68e945628d6bb3c8b5c4ac78,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99877519359b74389dbb7,Bowluvada (CT),586202,8,34,10,43,2,7,30,10,12,50,2,8,34,10,0,1,51,0,52,52,0,51,1,52,0,49,3,52,0
68e945628d6bb3c8b5c4ac79,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99877519359b74389dbc1,Golagam,586198,5,25,8,36,0,2,37,0,1,38,0,5,24,9,0,0,38,0,38,36,2,37,1,37,1,38,0,38,0
68e945628d6bb3c8b5c4ac7a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99878519359b74389dbcb,Maredupudi,586194,8,29,10,43,0,4,36,6,5,45,2,8,29,10,0,0,47,0,47,43,4,35,12,47,0,47,0,40,7
68e945628d6bb3c8b5c4ac7b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99878519359b74389dbd0,Koduru,586192,0,10,4,14,0,0,7,3,4,14,0,0,11,3,0,0,14,0,14,14,0,14,0,12,2,14,0,14,0
68e945628d6bb3c8b5c4ac7c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99878519359b74389dbd5,Rebaka,586191,8,30,11,47,0,2,36,1,12,49,0,8,30,11,0,0,49,0,49,45,1,46,0,46,0,49,0,46,0
68e945628d6bb3c8b5c4ac7d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99878519359b74389dbdf,Venkupalem,586186,10,34,10,40,4,10,32,9,13,53,1,10,34,10,0,0,54,0,54,51,2,53,0,53,0,54,0,48,5
68e945628d6bb3c8b5c4ac7e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99879519359b74389dbe4,Kundram,586185,11,23,16,42,2,6,27,1,22,48,2,11,23,16,0,0,50,0,50,46,4,23,27,47,3,46,4,49,1
68e945628d6bb3c8b5c4ac7f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99879519359b74389dbe9,Papayya Santha Palem,586177,1,12,1,14,0,0,13,1,0,14,0,1,12,1,0,0,14,0,14,13,1,6,8,13,1,14,0,14,0
68e945628d6bb3c8b5c4ac80,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e2fd,ANAKAPALLE,5582,63f99879519359b74389dbee,Tagarampudi,586173,0,4,2,6,0,0,6,0,0,6,0,0,4,2,0,0,6,0,6,6,0,6,0,6,0,6,0,6,0
