_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4aca7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99883519359b74389dd00,Gantikorlam,586248,13,28,13,45,2,7,18,12,23,35,19,13,27,14,0,1,53,0,54,51,2,53,0,50,3,52,2,53,0
68e945628d6bb3c8b5c4aca8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99883519359b74389dd05,R. Sivarampuram,586269,9,29,11,48,0,1,19,8,22,34,15,9,29,11,1,0,48,0,49,45,4,33,16,49,0,46,3,49,0
68e945628d6bb3c8b5c4aca9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99883519359b74389dd0f,Rajam,586258,17,57,16,56,10,24,0,4,86,84,6,18,59,13,0,0,90,0,90,90,0,1,89,87,1,89,1,90,0
68e945628d6bb3c8b5c4acaa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd14,Karaka,586267,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4acab,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd19,Pedapudi Agraharam,586264,1,12,3,16,0,0,10,2,4,7,9,2,12,2,0,0,16,0,16,14,2,16,0,16,0,16,0,16,0
68e945628d6bb3c8b5c4acac,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd1e,Komallapudi,586249,1,2,2,1,3,1,3,0,2,3,2,1,2,2,0,0,5,0,5,5,0,5,0,5,0,4,1,5,0
68e945628d6bb3c8b5c4acad,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd23,Mangalapuram,586237,5,11,3,15,0,4,3,1,15,8,11,6,9,4,0,0,19,1,18,19,0,16,3,19,0,15,4,17,2
68e945628d6bb3c8b5c4acae,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd28,Pottidorapalem,586245,6,23,9,30,3,5,7,4,27,30,8,7,22,9,1,0,37,0,38,34,4,16,22,38,0,36,2,37,1
68e945628d6bb3c8b5c4acaf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99884519359b74389dd2d,Polepalle,586241,21,2,1,2,22,0,0,23,1,1,23,23,0,1,0,0,21,0,24,19,5,16,8,24,0,24,0,21,3
68e945628d6bb3c8b5c4acb0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99885519359b74389dd37,P. Bheemavaram,586243,11,34,17,51,4,7,15,7,40,48,14,11,34,17,0,0,62,0,62,58,1,51,8,58,1,57,3,58,1
68e945628d6bb3c8b5c4acb1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99885519359b74389dd3c,Dibbidi,586242,15,50,18,65,3,15,15,11,57,65,18,16,49,18,0,8,75,0,83,74,9,48,35,82,1,80,3,80,3
68e945628d6bb3c8b5c4acb2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99885519359b74389dd41,R. Bheemavaram,586270,0,7,0,7,0,0,2,1,4,4,3,0,7,0,0,0,7,0,7,5,2,5,2,7,0,7,0,7,0
68e945628d6bb3c8b5c4acb3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99885519359b74389dd46,Laluru,586234,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
68e945628d6bb3c8b5c4acb4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99885519359b74389dd4b,Typuram,586259,7,18,7,16,7,9,1,7,24,26,6,7,18,7,0,1,31,0,32,32,0,9,22,32,0,31,1,31,1
68e945628d6bb3c8b5c4acb5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99886519359b74389dd55,Peda Madina,586262,11,14,7,25,4,3,12,5,15,21,11,11,14,7,0,0,32,0,32,27,5,27,5,32,0,29,3,32,0
68e945628d6bb3c8b5c4acb6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99886519359b74389dd5f,Mallam,586273,5,20,5,24,3,3,10,6,14,23,7,4,20,6,0,1,29,0,30,30,0,27,3,30,0,30,0,30,0
68e945628d6bb3c8b5c4acb7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99886519359b74389dd64,L.Singavaram,586244,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
68e945628d6bb3c8b5c4acb8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99886519359b74389dd69,Lopudi,586235,15,44,16,62,2,11,42,15,18,60,15,17,43,15,0,0,75,0,75,73,2,62,13,73,1,73,2,73,2
68e945628d6bb3c8b5c4acb9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99887519359b74389dd6e,Neelakantapuram,586257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
68e945628d6bb3c8b5c4acba,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99887519359b74389dd73,Chinappannapalem,586240,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945628d6bb3c8b5c4acbb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99887519359b74389dd78,Vaddadi,586239,26,61,32,110,5,4,49,13,57,93,26,26,64,29,0,0,119,0,119,111,7,115,3,118,0,114,5,117,1
68e945628d6bb3c8b5c4acbc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e301,BUTCHAYYAPETA,5587,63f99887519359b74389dd7d,Mallam Bhupathipalem,586272,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
