_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ac11,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985a519359b74389d86c,Arjunagiri Agraharam,585930,3,75,8,14,0,72,0,53,33,84,2,3,74,8,0,0,86,0,86,66,20,81,5,86,0,86,0,83,3
68e945628d6bb3c8b5c4ac12,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985a519359b74389d871,Turuvolu,585931,5,64,6,36,0,39,2,1,72,73,2,5,64,6,0,0,75,0,75,56,5,41,20,61,0,75,0,53,8
68e945628d6bb3c8b5c4ac13,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985a519359b74389d876,Tangudubilli,585932,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
68e945628d6bb3c8b5c4ac14,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985b519359b74389d88a,Bylapudi,585940,3,43,8,23,0,31,1,11,42,54,0,4,43,7,0,0,54,0,54,53,1,46,8,53,1,53,1,50,4
68e945628d6bb3c8b5c4ac15,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985b519359b74389d894,Sirijam,585935,17,75,16,46,0,62,0,62,46,108,0,16,76,16,2,0,106,3,105,94,1,18,65,83,4,108,0,11,85
68e945628d6bb3c8b5c4ac16,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985b519359b74389d899,Appalarajupuram,585938,8,72,8,80,0,8,0,26,62,88,0,8,72,8,2,0,86,0,88,88,0,85,3,88,0,88,0,86,2
68e945628d6bb3c8b5c4ac17,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985b519359b74389d8a3,Khandivara Agraharam,585936,5,65,14,47,0,37,0,10,74,79,5,6,64,14,3,0,81,0,84,81,2,63,20,82,1,83,0,75,8
68e945628d6bb3c8b5c4ac18,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985c519359b74389d8a8,Lingabhupala Patnam,585937,0,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68e945628d6bb3c8b5c4ac19,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985c519359b74389d8b2,Neelampeta,585928,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4ac1a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985c519359b74389d8b7,Manchala,585924,0,5,0,3,0,2,1,0,4,5,0,0,5,0,0,0,5,0,5,5,0,4,1,5,0,5,0,5,0
68e945628d6bb3c8b5c4ac1b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985c519359b74389d8bc,J.B.Puram,585952,7,68,8,37,0,46,2,71,10,83,0,7,68,8,0,1,82,1,82,77,6,78,5,83,0,83,0,77,6
68e945628d6bb3c8b5c4ac1c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985d519359b74389d8c1,Cheedikada,585925,8,64,9,68,1,12,1,9,71,81,0,8,64,9,1,0,80,0,81,80,0,47,33,78,2,81,0,75,5
68e945628d6bb3c8b5c4ac1d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985d519359b74389d8c6,Chukkapalle,585953,5,60,12,30,0,47,2,15,60,77,0,5,60,12,0,0,77,0,77,75,2,51,26,77,0,77,0,75,2
68e945628d6bb3c8b5c4ac1e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985d519359b74389d8da,Pedagogada Agraharam,585948,3,21,1,9,0,16,0,9,16,25,0,3,21,1,0,0,25,0,25,25,0,21,4,25,0,25,0,24,1
68e945628d6bb3c8b5c4ac1f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985e519359b74389d8df,Chinagogada,585947,1,9,0,8,0,2,0,0,10,10,0,1,9,0,0,0,10,0,10,10,0,8,1,10,0,10,0,8,2
68e945628d6bb3c8b5c4ac20,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985e519359b74389d8e4,Cheedipalle Agraharam,585929,0,1,1,0,0,2,0,2,0,2,0,0,1,1,0,0,2,0,2,2,0,2,0,1,1,2,0,2,0
68e945628d6bb3c8b5c4ac21,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985e519359b74389d8e9,Dibbapalem,585941,7,50,7,62,0,2,0,7,57,64,0,6,50,8,0,0,64,0,64,61,3,61,3,64,0,64,0,59,5
68e945628d6bb3c8b5c4ac22,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e303,CHEEDIKADA,5588,63f9985e519359b74389d8ee,Jaithavaram,585934,4,65,11,36,0,44,2,14,64,80,0,4,66,10,0,0,79,0,80,78,2,73,7,80,0,80,0,76,4
