_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ac8f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987d519359b74389dc63,Ankupalem,586217,37,19,14,65,1,4,59,0,11,69,1,37,17,16,0,0,70,20,50,58,11,69,1,70,0,70,0,68,2
68e945628d6bb3c8b5c4ac90,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987d519359b74389dc68,Sreerampatnam,586216,0,2,0,2,0,0,0,2,0,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68e945628d6bb3c8b5c4ac91,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987d519359b74389dc6d,Gandhavaram,586232,9,31,21,51,0,10,43,9,9,61,0,10,30,21,0,0,61,0,61,53,8,61,0,61,0,61,0,60,1
68e945628d6bb3c8b5c4ac92,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987e519359b74389dc77,Khandipalle,586206,39,29,22,88,0,2,36,25,29,89,1,40,26,24,0,0,90,0,90,87,3,85,5,86,4,86,4,87,3
68e945628d6bb3c8b5c4ac93,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc81,Chodavaram (CT),586233,78,76,64,207,0,11,136,38,44,218,0,82,75,61,7,0,211,31,187,207,8,179,39,218,0,217,1,209,9
68e945628d6bb3c8b5c4ac94,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc86,Bhogapuram,586229,3,34,5,40,1,1,24,14,4,40,2,3,34,5,0,0,42,0,42,37,5,22,20,42,0,42,0,38,4
68e945628d6bb3c8b5c4ac95,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc8b,Chakipalle,586228,25,22,13,55,0,5,45,2,13,60,0,25,19,16,0,0,60,2,58,43,15,58,2,60,0,60,0,46,14
68e945628d6bb3c8b5c4ac96,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc90,Thimmannapalem,586227,2,0,1,2,1,0,3,0,0,3,0,2,0,1,0,0,3,2,1,3,0,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c4ac97,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f9987f519359b74389dc9a,Laxmipuram,586203,24,35,23,78,3,1,36,20,26,81,1,24,33,25,2,0,80,0,82,75,7,63,19,78,4,82,0,74,8
68e945628d6bb3c8b5c4ac98,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f99880519359b74389dc9f,Narasayyapeta,586214,3,48,16,59,0,8,30,21,16,67,0,4,48,15,0,0,67,0,67,66,1,65,2,67,0,67,0,49,18
68e945628d6bb3c8b5c4ac99,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f99880519359b74389dca4,Duddupalem,586221,14,26,26,60,1,5,35,21,10,66,0,14,26,26,0,0,66,0,66,62,3,64,1,65,0,66,0,63,2
68e945628d6bb3c8b5c4ac9a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e305,CHODAVARAM,5590,63f99880519359b74389dca9,Rayapurajupeta,586220,4,20,13,36,0,1,14,7,16,36,1,4,20,13,0,0,37,0,37,37,0,33,4,37,0,37,0,37,0
