_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4aba0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983b519359b74389d515,Komira,585773,4,19,5,27,0,1,8,2,18,28,0,4,19,5,0,0,28,0,28,28,0,28,0,27,1,28,0,27,1
68e945628d6bb3c8b5c4aba1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983b519359b74389d524,Jammadevipeta,585781,0,7,5,10,0,2,1,0,11,12,0,0,7,5,0,0,12,0,12,6,6,12,0,11,1,12,0,11,1
68e945628d6bb3c8b5c4aba2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983c519359b74389d52e,Gadampalem,585783,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4aba3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983c519359b74389d533,Krishnadevipeta,585757,0,21,1,19,1,2,9,0,13,22,0,0,21,1,0,0,22,0,22,22,0,22,0,18,4,22,0,22,0
68e945628d6bb3c8b5c4aba4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983c519359b74389d538,Kotha Yellavaram,585779,3,14,3,20,0,0,3,1,16,19,1,3,14,3,0,0,20,0,20,20,0,20,0,18,2,20,0,20,0
68e945628d6bb3c8b5c4aba5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983c519359b74389d542,Cheedigummala,585776,1,2,5,7,1,0,4,0,4,8,0,1,2,5,0,0,8,0,8,8,0,8,0,8,0,8,0,8,0
68e945628d6bb3c8b5c4aba6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983d519359b74389d54c,Mungerlapalem,585772,2,25,10,33,0,4,15,0,22,37,0,2,25,10,1,0,36,0,37,36,1,37,0,34,3,37,0,37,0
68e945628d6bb3c8b5c4aba7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983d519359b74389d556,Kumarapuram,585754,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4aba8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983d519359b74389d55b,Pakalapadu,585774,4,14,4,22,0,0,4,0,18,22,0,4,14,4,0,0,22,0,22,22,0,22,0,20,2,22,0,22,0
68e945628d6bb3c8b5c4aba9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983e519359b74389d565,Polavaram,585775,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4abaa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983e519359b74389d56f,Ammapeta,585782,0,3,0,2,0,1,0,0,3,3,0,0,3,0,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c4abab,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983e519359b74389d574,Yarakampeta,585777,1,7,2,9,0,1,3,0,7,10,0,1,8,1,0,0,10,0,10,8,2,10,0,5,5,10,0,10,0
68e945628d6bb3c8b5c4abac,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983e519359b74389d579,Gundupala,585778,2,10,5,17,0,0,3,1,13,16,1,2,9,6,0,0,17,0,17,17,0,17,0,17,0,17,0,17,0
68e945628d6bb3c8b5c4abad,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983f519359b74389d57e,Pappusettipalem,585767,1,5,4,9,1,0,2,0,8,10,0,1,5,4,0,0,10,0,10,10,0,10,0,8,2,10,0,10,0
68e945628d6bb3c8b5c4abae,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f9983f519359b74389d583,Yarravaram,585768,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,2,0,1,1,2,0,2,0
68e945628d6bb3c8b5c4abaf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f99840519359b74389d59c,Agency Laxmipuram,585756,1,6,0,6,0,1,1,0,6,7,0,1,6,0,0,0,7,0,7,7,0,7,0,7,0,7,0,7,0
68e945628d6bb3c8b5c4abb0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f99840519359b74389d5a1,Pathamallempeta,585765,6,15,10,29,0,2,6,1,24,31,0,6,16,9,0,0,31,0,31,25,6,31,0,28,3,31,0,31,0
68e945628d6bb3c8b5c4abb1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f99840519359b74389d5a6,Nagannadorapalem,585766,0,5,2,6,1,0,3,0,4,7,0,0,4,3,0,0,7,0,7,6,1,7,0,5,2,7,0,7,0
68e945628d6bb3c8b5c4abb2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f99840519359b74389d5b0,Golugonda,585762,7,41,4,48,0,4,17,1,34,52,0,6,41,5,0,0,52,0,52,51,1,52,0,48,4,52,0,52,0
68e945628d6bb3c8b5c4abb3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f99841519359b74389d5b5,Chodyam,585759,1,19,0,16,0,4,9,0,11,20,0,1,18,1,0,0,20,0,20,20,0,20,0,20,0,20,0,20,0
68e945628d6bb3c8b5c4abb4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f99841519359b74389d5ba,Lingamdora Palem,585761,1,17,3,20,0,1,9,1,11,21,0,2,17,2,0,0,21,0,21,21,0,21,0,19,2,21,0,21,0
68e945628d6bb3c8b5c4abb5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac6680216eb6c93e309,GOLUGONDA,5595,63f99841519359b74389d5bf,Kasimi,585788,1,1,0,2,0,0,0,0,2,2,0,1,1,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
