_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ac3b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99867519359b74389d9e0,Gavarapalem,586006,10,13,19,35,3,4,19,6,17,40,2,11,13,18,0,5,37,0,41,42,0,18,24,42,0,41,1,41,1
68e945628d6bb3c8b5c4ac3c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99867519359b74389d9ea,Santhapalem,586024,17,22,24,59,1,3,21,6,36,60,3,16,23,24,0,0,63,0,63,62,1,24,39,63,0,63,0,62,1
68e945628d6bb3c8b5c4ac3d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99867519359b74389d9f4,Gullepalle,586019,8,23,8,35,0,4,11,6,22,36,3,7,26,6,0,0,39,0,39,38,1,5,34,39,0,36,3,39,0
68e945628d6bb3c8b5c4ac3e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99868519359b74389da03,Gondupalem,586020,12,15,14,37,1,3,19,4,18,39,2,12,16,13,1,4,36,0,41,41,0,10,31,41,0,39,2,41,0
68e945628d6bb3c8b5c4ac3f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99868519359b74389da08,Kintada,586022,8,23,9,30,0,10,10,3,27,40,0,8,23,9,0,0,40,0,40,39,1,1,39,40,0,39,1,40,0
68e945628d6bb3c8b5c4ac40,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99868519359b74389da0d,Medicherla,586014,3,16,26,41,0,4,21,4,20,45,0,2,15,28,0,0,45,0,45,44,0,24,20,44,0,45,0,44,0
68e945628d6bb3c8b5c4ac41,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99868519359b74389da12,Kintadakotapadu,586021,29,7,4,23,0,17,15,2,23,39,1,30,7,3,0,0,40,0,40,40,0,27,13,40,0,40,0,34,6
68e945628d6bb3c8b5c4ac42,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99869519359b74389da17,Arle,586023,15,24,2,29,3,9,15,3,23,19,22,15,25,1,0,3,38,0,41,4,37,3,38,40,1,41,0,9,32
68e945628d6bb3c8b5c4ac43,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99869519359b74389da21,Garugubilli,586018,4,4,1,4,4,1,2,3,4,6,3,4,4,1,0,0,9,0,9,9,0,2,7,9,0,9,0,9,0
68e945628d6bb3c8b5c4ac44,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30d,K.KOTAPADU,5598,63f99869519359b74389da26,Chowduvada,586017,23,41,9,18,14,41,19,8,46,65,8,23,45,5,0,3,70,0,73,43,30,19,54,73,0,71,2,48,25
