_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4acca,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988a519359b74389ddca,Rajupeta,586282,10,1,9,18,0,2,16,0,4,20,0,10,1,9,0,0,20,2,18,19,0,19,0,19,0,20,0,0,19
68e945628d6bb3c8b5c4accb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988b519359b74389ddcf,Kotauratla,586283,12,6,17,28,2,5,30,0,5,33,2,14,6,15,0,0,35,0,35,32,0,32,0,32,0,30,5,0,32
68e945628d6bb3c8b5c4accc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988b519359b74389ddd4,Lingapuram,586284,13,4,8,18,4,3,11,1,13,25,0,14,4,7,0,0,25,0,25,19,6,25,0,25,0,24,1,6,19
68e945628d6bb3c8b5c4accd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988b519359b74389ddd9,Pippalla Kothapalle,586286,0,6,4,5,3,2,7,0,3,10,0,0,6,4,0,1,9,0,10,8,2,6,4,10,0,10,0,0,10
68e945628d6bb3c8b5c4acce,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988b519359b74389dde8,Pamulavaka,586274,14,1,14,21,5,3,21,0,8,28,1,15,0,14,0,0,29,1,28,29,0,29,0,29,0,28,1,2,27
68e945628d6bb3c8b5c4accf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988c519359b74389dded,Sunkapuru,586279,3,1,5,4,1,4,5,0,4,9,0,4,2,3,0,0,9,0,9,9,0,9,0,9,0,9,0,0,9
68e945628d6bb3c8b5c4acd0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988c519359b74389ddf2,Ramannapalem,586281,3,0,2,5,0,0,5,0,0,5,0,3,0,2,0,0,5,0,5,5,0,5,0,5,0,5,0,0,5
68e945628d6bb3c8b5c4acd1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988c519359b74389ddf7,Yendapalle,586277,12,7,2,15,3,3,16,1,4,21,0,13,6,2,0,0,21,0,21,22,0,22,0,22,0,20,1,0,22
68e945628d6bb3c8b5c4acd2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988c519359b74389ddfc,Bapiraju Kothapalle,586275,11,9,11,24,1,6,28,1,2,27,4,13,8,10,0,1,30,13,18,29,0,10,18,27,2,24,7,12,17
68e945628d6bb3c8b5c4acd3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988c519359b74389de01,Panduru,586294,2,0,9,7,1,3,9,0,2,11,0,2,0,9,0,0,11,0,11,6,4,4,6,10,0,11,0,0,10
68e945628d6bb3c8b5c4acd4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988d519359b74389de06,Chinaboddepalle,586287,14,2,10,16,3,7,26,0,0,20,6,13,2,11,0,0,25,10,15,25,0,0,23,24,1,26,0,25,0
68e945628d6bb3c8b5c4acd5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988d519359b74389de10,Chowduvada,586291,12,7,16,28,2,5,32,1,2,33,2,12,7,16,0,0,35,21,14,28,6,19,15,34,0,35,0,5,29
68e945628d6bb3c8b5c4acd6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988d519359b74389de15,Kodavatipudi,586288,27,20,7,29,16,9,35,5,14,46,8,41,10,3,0,0,54,34,20,53,0,53,0,53,0,53,1,0,53
68e945628d6bb3c8b5c4acd7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988d519359b74389de1f,Kailasapatnam,586290,8,1,16,23,0,2,23,1,1,20,5,9,1,15,0,0,25,10,15,25,0,25,0,25,0,25,0,0,25
68e945628d6bb3c8b5c4acd8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988e519359b74389de24,Thangedu,586280,2,7,16,8,7,10,25,0,0,25,0,2,7,16,0,0,25,0,25,25,0,25,0,25,0,25,0,1,24
68e945628d6bb3c8b5c4acd9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988e519359b74389de29,Jalluru,586278,7,0,2,3,3,3,5,0,4,9,0,5,2,2,0,0,9,0,9,8,1,9,0,9,0,9,0,0,9
68e945628d6bb3c8b5c4acda,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988e519359b74389de2e,Bodapalem,586285,13,3,9,20,1,4,20,0,5,19,6,13,3,9,0,0,25,20,5,25,0,0,25,24,0,22,3,17,8
68e945628d6bb3c8b5c4acdb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e30f,KOTAURATLA,5600,63f9988e519359b74389de33,Annavaram,586276,11,3,11,25,0,0,23,1,1,17,8,14,3,8,0,0,25,14,11,19,6,0,25,24,1,25,0,11,14
