_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4abee,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f9984f519359b74389d752,P.Sivaram Puram,585908,3,9,4,15,0,1,8,1,7,15,1,4,8,4,0,0,16,0,16,9,7,16,0,16,0,16,0,16,0
68e945628d6bb3c8b5c4abef,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99850519359b74389d757,Avuruvada,585901,4,9,8,15,0,6,10,0,11,20,1,4,9,8,0,0,21,0,21,12,9,21,0,21,0,21,0,21,0
68e945628d6bb3c8b5c4abf0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99850519359b74389d766,Madugula,585878,17,95,54,124,6,36,62,5,99,164,2,18,91,57,0,0,165,0,166,158,5,155,8,161,2,166,0,159,3
68e945628d6bb3c8b5c4abf1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99850519359b74389d76b,Sankaram,585873,6,50,7,41,5,17,29,0,34,61,2,6,50,7,0,0,63,0,63,51,12,61,2,63,0,63,0,61,2
68e945628d6bb3c8b5c4abf2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d770,M.K.Vallapuram,585884,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4abf3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d775,Satyavaram,585886,5,32,23,56,1,3,16,0,44,60,0,5,32,23,0,0,60,0,60,60,0,48,11,60,0,60,0,56,4
68e945628d6bb3c8b5c4abf4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d77a,Lakshmipuram,585917,0,2,1,1,0,2,1,0,2,3,0,0,2,1,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c4abf5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d77f,Pothanapudi Araharam,585920,11,18,31,54,0,6,16,0,44,59,1,11,18,31,0,0,60,0,60,57,3,45,15,60,0,60,0,59,1
68e945628d6bb3c8b5c4abf6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99851519359b74389d784,Vommali,585911,3,24,33,51,2,7,24,0,36,59,1,5,23,32,0,0,60,0,60,54,6,60,0,60,0,60,0,60,0
68e945628d6bb3c8b5c4abf7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e311,MADUGULA,5602,63f99852519359b74389d789,Jammadevipeta,585905,23,16,23,59,0,3,17,4,41,62,0,24,16,22,0,1,61,0,62,58,1,39,20,57,2,62,0,57,2
