_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4acdc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de44,Koduru,586319,4,28,11,42,1,0,0,13,30,36,7,4,28,11,0,0,43,0,43,36,7,35,8,38,5,38,5,22,21
68e945628d6bb3c8b5c4acdd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de49,Vajragada,586311,5,15,2,20,1,1,0,7,15,18,4,5,15,2,0,0,22,1,21,3,19,9,13,5,17,22,0,15,6
68e945628d6bb3c8b5c4acde,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de4e,Giduthuru,586313,2,9,2,12,0,1,1,1,11,13,0,2,9,2,0,0,13,0,13,11,2,10,3,13,0,12,1,6,7
68e945628d6bb3c8b5c4acdf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de53,Tamaram,586315,3,15,5,19,1,3,12,4,7,23,0,3,14,6,0,0,23,0,23,23,0,23,0,21,2,22,1,20,3
68e945628d6bb3c8b5c4ace0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de58,Settipalem,586306,3,17,4,21,1,2,0,2,22,21,3,3,16,5,1,2,21,0,24,18,6,21,3,22,2,23,1,23,1
68e945628d6bb3c8b5c4ace1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f9988f519359b74389de5d,Makavarapalem,586309,4,14,5,22,1,0,0,3,20,23,0,5,14,4,0,0,23,0,23,9,14,8,15,2,21,23,0,15,8
68e945628d6bb3c8b5c4ace2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99890519359b74389de62,Bayyavaram,586314,3,1,1,5,0,0,5,0,0,4,1,3,1,1,0,0,5,5,0,3,2,5,0,5,0,5,0,3,2
68e945628d6bb3c8b5c4ace3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99890519359b74389de67,Burugupalem,586300,8,22,7,34,0,3,0,14,23,29,8,8,22,7,4,0,32,0,37,35,2,37,0,37,0,37,0,5,32
68e945628d6bb3c8b5c4ace4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99890519359b74389de71,Kondala Agraharam,586298,2,15,6,21,0,2,2,5,16,23,0,2,16,5,1,1,21,0,23,23,0,21,2,23,0,21,2,16,7
68e945628d6bb3c8b5c4ace5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99890519359b74389de76,Pydipala,586299,4,26,7,35,2,0,0,13,24,29,8,5,25,7,0,0,37,1,36,29,8,18,19,16,21,36,0,17,20
68e945628d6bb3c8b5c4ace6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99891519359b74389de7b,Tadapala,586301,0,6,3,9,0,0,0,6,3,6,3,0,6,3,0,0,9,0,9,9,0,9,0,9,0,9,0,0,9
68e945628d6bb3c8b5c4ace7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99891519359b74389de85,Jangalapalle,586318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
68e945628d6bb3c8b5c4ace8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99891519359b74389de8f,Rachapalle,586316,3,12,3,17,0,1,0,4,14,18,0,3,13,2,1,0,17,0,18,18,0,16,2,18,0,18,0,10,8
68e945628d6bb3c8b5c4ace9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99891519359b74389de94,Pochinapeddi Agraharam,586317,3,13,6,20,1,1,0,0,22,17,5,4,13,5,0,0,22,0,22,18,4,9,13,1,21,22,0,17,5
68e945628d6bb3c8b5c4acea,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99892519359b74389dead,Peddipalem,586304,0,5,2,7,0,0,0,0,7,6,1,0,5,2,0,0,7,0,7,7,0,7,0,7,0,7,0,1,6
68e945628d6bb3c8b5c4aceb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e313,MAKAVARAPALEM,5603,63f99892519359b74389deb2,Tootipala,586302,2,11,4,16,0,1,0,1,16,13,4,2,11,4,0,0,17,0,17,17,0,17,0,15,2,13,3,10,7
