_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ac76,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f99877519359b74389dbab,Donkada,586425,1,8,4,11,0,2,11,0,2,13,0,1,8,4,0,0,13,0,13,13,0,13,0,13,0,13,0,13,0
68e945628d6bb3c8b5c4ad37,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0d6,Chinadoddigallu,586435,8,33,14,33,11,11,54,0,1,37,18,8,33,14,5,0,50,0,55,28,27,6,49,55,0,50,5,55,0
68e945628d6bb3c8b5c4ad38,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0db,Devavaram,586440,3,12,2,7,2,8,17,0,0,7,10,3,12,2,1,0,16,0,17,7,10,2,15,15,2,17,0,15,2
68e945628d6bb3c8b5c4ad39,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0e0,Uddandapuram,586441,7,13,6,23,0,3,25,0,1,13,13,7,13,6,0,0,26,0,26,21,5,6,20,25,1,24,2,26,0
68e945628d6bb3c8b5c4ad3a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0e5,Mukundarajupeta,586427,1,6,3,8,0,2,10,0,0,8,2,1,6,3,0,0,10,0,10,10,0,10,0,10,0,8,2,10,0
68e945628d6bb3c8b5c4ad3b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a6519359b74389e0ea,Pedadoddigallu,586431,6,11,9,26,0,0,26,0,0,23,3,6,11,9,0,0,26,0,26,21,5,17,9,24,2,25,1,24,2
68e945628d6bb3c8b5c4ad3c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a7519359b74389e0ef,Kagitha,586446,7,12,6,24,0,1,24,1,0,25,0,7,12,6,0,0,25,0,25,25,0,22,3,25,0,24,1,25,0
68e945628d6bb3c8b5c4ad3d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a7519359b74389e0f4,Chinarambhadrapuram,586439,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
68e945628d6bb3c8b5c4ad3e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a7519359b74389e0f9,Godicherla,586438,6,23,9,18,4,16,36,0,2,29,9,6,23,9,2,0,36,1,37,18,20,4,34,36,2,37,1,26,12
68e945628d6bb3c8b5c4ad3f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e317,NAKKAPALLE,5606,63f998a7519359b74389e0fe,Nellipudi,586442,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
