_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4abb7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99841519359b74389d5cb,Veerabhupala Patnam,585789,0,1,1,1,0,1,0,1,1,2,0,0,1,1,0,0,2,0,2,2,0,2,0,1,1,2,0,2,0
68e945628d6bb3c8b5c4abb8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99842519359b74389d5d0,Amalapuram,585799,6,69,11,64,3,19,1,82,3,70,16,6,68,12,0,1,85,0,86,80,4,41,27,84,0,85,1,8,76
68e945628d6bb3c8b5c4abb9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99842519359b74389d5d5,Vemulapudi,585798,4,75,12,83,2,6,15,27,49,66,25,4,75,12,0,0,91,0,91,61,30,86,5,88,3,91,0,84,7
68e945628d6bb3c8b5c4abba,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99842519359b74389d5da,Duggada,585797,0,3,1,4,0,0,2,0,2,4,0,0,3,1,0,0,4,0,4,3,1,3,1,4,0,4,0,4,0
68e945628d6bb3c8b5c4abbb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99842519359b74389d5df,Dharmasagaram,585796,7,62,11,74,1,5,49,4,27,58,22,8,61,11,0,0,80,0,80,71,9,73,7,76,4,80,0,79,1
68e945628d6bb3c8b5c4abbc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5e9,Guramdorapalem,585792,6,63,12,81,0,0,54,1,26,61,20,5,64,12,0,0,81,0,81,69,12,80,1,80,1,81,0,76,5
68e945628d6bb3c8b5c4abbd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5ee,Gabbada,585791,9,65,6,80,0,0,48,1,31,62,18,8,66,6,0,0,80,0,80,76,3,78,1,77,2,79,1,75,4
68e945628d6bb3c8b5c4abbe,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5f3,Neelampeta,585790,0,2,0,1,0,1,1,0,1,1,1,0,2,0,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
68e945628d6bb3c8b5c4abbf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5f8,Yerakannapalem,585800,8,66,10,79,5,0,17,28,39,67,17,6,69,9,0,1,83,0,84,76,6,82,0,82,0,84,0,80,2
68e945628d6bb3c8b5c4abc0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e319,NARSIPATNAM,5607,63f99843519359b74389d5fd,Chettupalle,585793,13,103,14,91,18,21,0,95,35,102,28,12,104,14,0,8,122,0,130,128,2,130,0,130,0,128,2,129,1
