_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ab87,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99834519359b74389d44b,Golugondapeta,585734,13,81,40,124,5,5,58,19,57,126,8,13,77,44,0,0,133,0,134,121,12,129,4,133,0,134,0,129,4
68e945628d6bb3c8b5c4ab88,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99834519359b74389d450,Sarugudu,585732,15,25,33,69,1,3,24,8,41,72,1,23,24,26,0,0,72,1,72,70,3,23,50,73,0,73,0,72,1
68e945628d6bb3c8b5c4ab89,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99834519359b74389d455,Chollangipalem,585748,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4ab8a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99834519359b74389d45a,Gummidigonda,585730,20,51,31,83,3,16,42,10,50,98,4,20,52,30,0,0,102,0,102,98,4,51,51,101,1,98,4,99,3
68e945628d6bb3c8b5c4ab8b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99835519359b74389d464,Pichchiganti Kothagudam,585738,11,39,25,65,2,8,28,5,42,72,3,11,36,28,0,0,75,0,75,65,10,75,0,75,0,74,1,73,2
68e945628d6bb3c8b5c4ab8c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99835519359b74389d469,Veerabhupati Agraharam,585751,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4ab8d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99836519359b74389d47d,Yerakabhoopati Agraharam,585749,2,7,3,8,1,3,7,0,5,12,0,2,7,3,0,0,12,0,12,11,1,11,1,12,0,12,0,12,0
68e945628d6bb3c8b5c4ab8e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99836519359b74389d482,Pedabhairavabhoopati Agraharam,585750,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4ab8f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99836519359b74389d487,Manyapuratla,585744,18,68,28,95,7,12,42,10,62,110,4,20,61,33,0,1,111,0,114,104,10,106,8,114,0,109,5,111,3
68e945628d6bb3c8b5c4ab90,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31b,NATHAVARAM,5608,63f99836519359b74389d48c,Srungavaram,585746,12,26,7,42,1,2,19,4,22,44,1,14,26,5,0,0,45,0,45,45,0,3,42,45,0,45,0,45,0
