_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ac65,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99872519359b74389db2e,MARRIPALEM,929943,2,7,2,10,1,0,11,0,0,11,0,2,6,3,0,0,11,0,11,9,2,10,1,11,0,10,1,9,2
68e945628d6bb3c8b5c4ac66,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99873519359b74389db3d,Cheepurupalle (East ),586170,14,20,19,41,2,10,52,0,1,53,0,13,20,20,0,0,53,0,53,38,15,42,11,51,2,50,3,50,3
68e945628d6bb3c8b5c4ac67,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99873519359b74389db42,Cheepurupalle (West),586169,7,20,17,35,0,9,39,2,3,43,1,7,20,17,1,0,43,0,44,33,11,44,0,44,0,43,1,44,0
68e945628d6bb3c8b5c4ac68,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99873519359b74389db47,Kalapaka,586168,3,5,2,9,0,1,10,0,0,10,0,3,5,2,0,0,10,0,10,9,1,10,0,10,0,10,0,10,0
68e945628d6bb3c8b5c4ac69,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99873519359b74389db4c,Ravada,586166,6,17,9,28,1,3,30,0,2,32,0,7,17,8,0,1,31,1,31,15,13,14,18,32,0,30,2,30,2
68e945628d6bb3c8b5c4ac6a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99874519359b74389db51,Bharinikam,586165,2,19,5,24,0,2,14,0,12,25,1,2,19,5,0,0,25,0,26,10,16,8,18,25,1,26,0,15,11
68e945628d6bb3c8b5c4ac6b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99874519359b74389db56,Edulapaka Bonangi,586161,3,7,6,13,0,3,15,0,1,16,0,3,7,6,0,0,16,1,15,16,0,14,2,16,0,16,0,16,0
68e945628d6bb3c8b5c4ac6c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99874519359b74389db5b,Kannuru,586151,4,7,4,10,2,3,15,0,0,15,0,4,7,4,1,0,14,0,15,15,0,15,0,11,4,15,0,15,0
68e945628d6bb3c8b5c4ac6d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99874519359b74389db60,MANTRIPALEM,930989,1,5,2,7,0,1,8,0,0,8,0,1,5,2,1,0,7,0,8,8,0,8,0,8,0,8,0,8,0
68e945628d6bb3c8b5c4ac6e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e31d,PARAVADA,5611,63f99874519359b74389db65,P SIVARAMPURAM,929946,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
