_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ad71,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b2519359b74389e244,Kattabolu,586519,54,58,17,125,4,0,34,47,48,111,18,54,57,18,0,0,129,0,129,123,1,63,61,117,7,126,3,92,32
68e945628d6bb3c8b5c4ad72,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b2519359b74389e24e,Rajala Agraharam,586522,2,6,4,12,0,0,9,3,0,8,4,2,6,4,0,0,12,0,12,9,3,12,0,12,0,12,0,7,5
68e945628d6bb3c8b5c4ad73,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b3519359b74389e258,Haripuram,586501,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
68e945628d6bb3c8b5c4ad74,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b3519359b74389e262,Kumarapalle,586517,7,7,2,15,1,0,2,7,7,11,5,7,7,2,0,0,16,0,16,16,0,14,2,16,0,16,0,15,1
68e945628d6bb3c8b5c4ad75,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b4519359b74389e271,Kothuru,586498,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4ad76,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b4519359b74389e276,Marripalem,586521,12,61,10,74,4,5,13,37,33,81,2,12,60,11,0,0,83,0,83,81,3,66,18,84,0,81,2,84,0
68e945628d6bb3c8b5c4ad77,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b5519359b74389e28a,Velchuru,586515,12,28,5,41,3,1,11,15,19,31,14,12,26,7,0,0,45,0,45,24,21,23,17,42,1,39,5,19,25
68e945628d6bb3c8b5c4ad78,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b5519359b74389e28f,Panchadarla,586502,26,42,15,82,0,1,26,28,29,83,0,26,40,16,0,0,83,0,83,76,4,37,43,79,1,81,2,80,0
68e945628d6bb3c8b5c4ad79,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b5519359b74389e29e,Peda kalavalapalli,912619,19,27,8,52,1,1,5,13,36,49,5,19,26,9,0,0,54,0,54,53,1,20,34,54,0,54,0,48,6
68e945628d6bb3c8b5c4ad7a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e321,RAMBILLI,5616,63f998b6519359b74389e2a8,Murakada,586520,3,52,4,52,2,5,14,27,18,54,5,3,50,6,0,0,59,0,59,57,0,24,32,57,0,59,0,57,0
