_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4abd8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984a519359b74389d6b5,Z.Bennavaram,585837,21,29,3,46,1,8,27,2,26,55,0,13,39,3,0,0,55,0,55,55,0,46,9,54,1,55,0,50,5
68e945628d6bb3c8b5c4abd9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984a519359b74389d6ba,Badanapadu,585840,1,1,1,3,0,0,0,0,3,3,0,1,1,1,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c4abda,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984a519359b74389d6bf,Tattabanda,585864,2,7,45,52,0,2,10,1,43,48,6,43,8,3,0,0,54,2,52,53,1,47,7,53,1,54,0,54,0
68e945628d6bb3c8b5c4abdb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984a519359b74389d6c9,Kanada,585854,19,35,3,45,4,8,1,15,41,55,2,19,34,4,0,0,57,32,25,55,2,56,1,56,1,57,0,55,2
68e945628d6bb3c8b5c4abdc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984b519359b74389d6ce,Guddipa,585862,17,28,8,37,2,15,28,1,25,54,0,21,25,8,0,0,54,1,53,52,1,53,0,52,1,54,0,53,0
68e945628d6bb3c8b5c4abdd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984b519359b74389d6d8,Kothakota,585859,14,81,11,79,4,25,40,11,57,108,0,13,84,11,0,0,108,10,98,101,6,82,25,106,1,108,0,101,6
68e945628d6bb3c8b5c4abde,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984b519359b74389d6e2,Dondapudi,585858,0,42,13,23,7,25,14,1,40,55,0,0,42,13,0,0,55,1,54,55,0,1,54,55,0,55,0,48,6
68e945628d6bb3c8b5c4abdf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984c519359b74389d6e7,Krishnabhupala Puram Agraharam,585843,2,10,1,13,0,0,4,0,9,13,0,2,8,3,0,0,13,0,13,13,0,13,0,13,0,13,0,13,0
68e945628d6bb3c8b5c4abe0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984c519359b74389d6f1,Marupaka,585852,5,19,1,10,3,12,4,2,19,25,0,4,19,2,0,0,25,0,25,25,0,20,5,22,3,25,0,25,0
68e945628d6bb3c8b5c4abe1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984c519359b74389d6f6,Medivada,585853,3,30,4,37,0,0,2,4,31,34,3,5,30,2,0,0,37,0,37,37,0,33,3,36,1,37,0,37,0
68e945628d6bb3c8b5c4abe2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984c519359b74389d6fb,Cheemalapadu,585834,2,43,7,50,1,1,10,0,42,49,3,5,43,4,0,0,52,2,50,52,0,51,1,52,0,52,0,52,0
68e945628d6bb3c8b5c4abe3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984c519359b74389d700,Buddibanda,585842,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
68e945628d6bb3c8b5c4abe4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984d519359b74389d705,T.Arjapuram,585838,10,44,0,43,0,12,3,12,40,53,2,10,45,0,0,0,55,12,43,54,0,46,8,53,1,55,0,53,1
68e945628d6bb3c8b5c4abe5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984d519359b74389d719,Matsyapuram,585844,25,25,4,52,0,3,16,8,31,55,0,1,50,4,0,0,55,0,55,46,7,50,3,53,0,55,0,52,1
68e945628d6bb3c8b5c4abe6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984d519359b74389d71e,Komira,585845,3,14,1,15,1,2,0,0,18,18,0,3,14,1,0,0,18,0,18,17,1,18,0,17,1,18,0,18,0
68e945628d6bb3c8b5c4abe7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984e519359b74389d72d,Ravikamatham,585850,21,31,2,38,2,14,24,3,27,51,3,23,29,2,0,2,52,0,54,50,2,1,52,42,11,53,0,53,0
68e945628d6bb3c8b5c4abe8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984e519359b74389d732,Gudiwada,585851,25,32,0,50,0,8,23,1,34,56,2,25,33,0,0,0,58,0,58,58,0,14,44,52,6,57,1,51,6
68e945628d6bb3c8b5c4abe9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984e519359b74389d737,Kavagunta,585841,0,3,0,0,2,1,0,0,3,3,0,0,3,0,0,0,3,1,2,3,0,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c4abea,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984f519359b74389d73c,Diddi,585855,2,11,1,13,1,0,0,2,12,14,0,3,11,0,0,0,14,0,14,14,0,11,3,13,1,14,0,14,0
68e945628d6bb3c8b5c4abeb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e323,RAVIKAMATHAM,5617,63f9984f519359b74389d741,Totakurapalem,585865,13,39,9,36,2,24,34,1,27,62,0,15,37,10,0,0,62,0,62,59,0,55,4,55,4,62,0,59,0
