_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4abc4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99844519359b74389d61d,Konthalam,585817,3,18,11,1,4,27,31,0,1,27,5,30,1,1,0,0,31,0,31,31,1,31,1,32,0,29,3,28,4
68e945628d6bb3c8b5c4abc5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99844519359b74389d622,Kanchugummala,585819,7,26,1,30,0,4,26,1,7,25,9,7,26,1,13,0,21,0,34,14,18,28,4,14,18,29,5,14,18
68e945628d6bb3c8b5c4abc6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99845519359b74389d627,Sarabavaram,585814,7,42,1,33,0,17,42,0,8,47,3,6,43,1,1,0,49,0,50,4,44,14,34,46,2,50,0,11,36
68e945628d6bb3c8b5c4abc7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99845519359b74389d62c,Bottavanigaviram Peta,585808,0,3,0,1,0,2,2,0,1,2,1,0,2,1,1,0,2,0,3,0,3,1,1,2,1,3,0,1,2
68e945628d6bb3c8b5c4abc8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99845519359b74389d631,Benna Bhupala Patnam,585806,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
68e945628d6bb3c8b5c4abc9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99845519359b74389d640,Kovvuru,585824,12,38,4,23,2,29,48,1,5,44,10,25,28,1,2,0,52,4,50,38,17,49,6,55,0,53,1,50,5
68e945628d6bb3c8b5c4abca,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99846519359b74389d645,Komaravolu,585822,2,14,25,21,12,8,38,0,3,33,8,21,16,4,4,0,35,0,41,33,7,3,33,33,1,41,0,25,15
68e945628d6bb3c8b5c4abcb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99846519359b74389d64a,Ratnampeta,585807,5,14,14,17,1,15,25,0,8,24,9,6,13,14,14,3,16,0,33,18,15,18,12,26,7,32,1,18,14
68e945628d6bb3c8b5c4abcc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99846519359b74389d654,Kusarlapudi,585832,0,18,1,8,0,11,16,1,2,13,6,0,18,1,1,1,17,0,19,18,0,7,8,12,3,19,0,6,13
68e945628d6bb3c8b5c4abcd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99846519359b74389d659,Janakirampuram Agraharam,585831,0,10,4,13,0,1,11,1,2,11,3,4,9,1,1,0,13,0,14,13,0,13,0,9,4,14,0,13,0
68e945628d6bb3c8b5c4abce,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99847519359b74389d65e,Butchampeta,585826,5,22,2,28,0,1,20,0,9,27,2,5,22,2,11,0,18,0,29,21,7,28,1,14,15,28,1,16,13
68e945628d6bb3c8b5c4abcf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99847519359b74389d663,Kondapalem,585830,3,1,18,1,5,16,20,0,2,17,5,21,1,0,0,1,21,0,22,22,0,17,5,21,1,20,2,21,1
68e945628d6bb3c8b5c4abd0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99847519359b74389d677,Mokhasa Kothapatnam,585805,15,12,2,8,4,17,27,0,2,19,10,15,12,2,5,1,23,0,29,18,11,16,13,14,15,29,0,29,0
68e945628d6bb3c8b5c4abd1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99848519359b74389d681,Addasaram,585818,2,6,0,7,0,1,8,0,0,5,3,2,6,0,4,0,4,0,8,3,2,5,3,6,2,8,0,6,2
68e945628d6bb3c8b5c4abd2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99848519359b74389d686,Jaggampeta,585821,4,28,5,23,3,11,30,2,5,28,9,6,28,3,35,0,2,0,37,36,1,36,0,37,0,37,0,37,0
68e945628d6bb3c8b5c4abd3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99848519359b74389d690,Rolugunta,585829,3,28,1,27,0,5,23,1,8,31,1,4,28,0,0,0,32,0,32,10,22,23,9,31,1,32,0,12,20
68e945628d6bb3c8b5c4abd4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99848519359b74389d695,Vaddippa,585825,2,20,1,18,0,5,21,0,2,22,1,2,21,0,2,4,17,1,22,6,17,22,1,16,7,23,0,8,15
68e945628d6bb3c8b5c4abd5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99849519359b74389d69a,Nindugonda,585828,3,19,3,2,4,19,21,1,3,22,4,2,21,2,16,0,9,0,25,14,12,21,5,17,8,26,0,20,5
68e945628d6bb3c8b5c4abd6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99849519359b74389d69f,Gangavaram,585809,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
68e945628d6bb3c8b5c4abd7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e325,ROLUGUNTA,5618,63f99849519359b74389d6a4,Gundubadu,585820,7,36,2,37,0,8,31,1,13,38,7,8,33,4,0,0,45,0,45,42,3,20,25,19,15,44,1,29,16
