_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ac52,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986d519359b74389da8c,Gollalapalem,586059,1,3,5,8,0,1,6,1,2,8,1,1,3,5,0,0,9,0,9,2,7,9,0,7,2,9,0,9,0
68e945628d6bb3c8b5c4ac53,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986d519359b74389da96,Yerukunaidupalem,586053,1,4,1,6,0,0,6,0,0,5,1,1,4,1,0,0,6,0,6,6,0,6,0,1,5,6,0,6,0
68e945628d6bb3c8b5c4ac54,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986d519359b74389da9b,Pydivada Agraharam,586051,5,16,9,29,0,1,26,2,2,30,0,5,17,8,0,0,30,0,30,30,0,30,0,30,0,30,0,30,0
68e945628d6bb3c8b5c4ac55,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986e519359b74389daaf,Mogalipuram,586040,7,13,12,31,1,0,21,5,6,31,1,8,15,9,0,0,32,1,31,26,6,30,2,30,2,32,0,32,0
68e945628d6bb3c8b5c4ac56,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986e519359b74389dab4,Boduvalasa,586038,5,13,10,25,0,3,23,3,2,28,0,5,13,10,0,0,28,0,28,27,1,27,1,28,0,28,0,28,0
68e945628d6bb3c8b5c4ac57,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986e519359b74389dabe,Antakapalle,586035,2,17,14,28,0,5,15,0,18,33,0,6,17,10,0,0,33,0,33,33,0,24,9,33,0,33,0,33,0
68e945628d6bb3c8b5c4ac58,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986f519359b74389dac3,Vangali,586034,9,15,9,33,0,0,19,3,11,32,1,10,15,8,0,0,33,0,33,34,0,34,0,34,0,33,0,34,0
68e945628d6bb3c8b5c4ac59,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f9986f519359b74389dad2,Bangarammapalem,586030,2,8,2,12,0,0,11,1,0,12,0,2,8,2,0,0,12,0,12,10,2,11,1,11,1,12,0,9,3
68e945628d6bb3c8b5c4ac5a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f99870519359b74389dae1,Vippakaagraharam,586058,0,3,0,3,0,0,0,1,2,3,0,0,3,0,0,0,3,0,3,0,3,3,0,3,0,3,0,3,0
68e945628d6bb3c8b5c4ac5b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac7680216eb6c93e327,SABBAVARAM,5620,63f99870519359b74389daeb,Asakapalle,586054,3,8,3,12,0,2,9,1,4,14,0,3,8,3,0,0,14,0,14,6,8,14,0,6,8,14,0,13,1
