_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c4ad28,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a3519359b74389e07f,Regupalem,586417,26,64,34,119,1,4,74,18,32,123,1,29,62,33,22,0,102,0,124,117,7,103,21,115,9,122,2,110,14
68e945628d6bb3c8b5c4ad29,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a3519359b74389e084,Bayyavaram,586418,9,5,2,15,0,1,11,2,3,16,0,9,5,2,15,0,1,0,16,16,0,6,10,16,0,16,0,16,0
68e945628d6bb3c8b5c4ad2a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a3519359b74389e08e,Eti Koppaka,586419,9,28,19,56,0,0,38,13,5,53,3,9,28,19,37,1,18,0,56,55,0,55,1,56,0,56,0,53,3
68e945628d6bb3c8b5c4ad2b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a3519359b74389e093,Padmanabharaju Peta,586420,4,5,1,9,1,0,9,1,0,10,0,4,5,1,10,0,0,0,10,10,0,5,5,8,2,10,0,10,0
68e945628d6bb3c8b5c4ad2c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a4519359b74389e098,Yerravaram,586416,13,26,9,38,4,6,29,12,7,48,0,14,25,9,19,0,29,0,48,46,2,47,1,48,0,47,1,35,13
68e945628d6bb3c8b5c4ad2d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a4519359b74389e09d,Thurangalapalem,586411,3,24,8,31,2,2,22,4,9,34,1,5,22,8,0,0,35,2,33,31,4,34,1,32,3,35,0,26,9
68e945628d6bb3c8b5c4ad2e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a4519359b74389e0a2,PEDAPALLI,929951,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,2,1,1,2,0,1,1,2,0,1,1
68e945628d6bb3c8b5c4ad2f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a4519359b74389e0a7,Kokkirapalle,586410,3,24,12,37,0,2,30,1,8,39,0,3,24,12,0,0,39,0,39,37,2,39,0,39,0,39,0,29,10
68e945628d6bb3c8b5c4ad30,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a4519359b74389e0ac,Jampapalem,586412,1,15,4,19,0,1,11,3,6,20,0,2,14,4,0,0,20,0,20,13,7,20,0,20,0,20,0,17,3
68e945628d6bb3c8b5c4ad31,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99834519359b74389d446,Anakapalli,744,6492fac8680216eb6c93e32b,YELAMANCHILI,5622,63f998a4519359b74389e0b1,Pulaparthi,586421,31,39,23,84,4,5,44,26,23,91,2,30,39,24,92,0,1,0,93,86,7,50,43,83,10,92,1,75,18
