_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bca0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e46519359b7438a6900,Pyarampalle,593488,0,18,0,9,4,5,6,0,12,12,6,0,17,1,0,0,18,0,18,12,6,6,12,17,1,10,8,18,0
68e945638d6bb3c8b5c4bca1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e46519359b7438a6905,Pulikunta,593481,0,43,0,10,16,17,14,1,28,36,7,2,39,2,0,0,43,0,43,30,13,17,26,40,3,26,17,39,4
68e945638d6bb3c8b5c4bca2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e46519359b7438a690a,Eguvagottiveedu,593492,0,38,0,23,3,12,6,4,28,25,13,0,35,3,0,0,38,0,38,33,5,2,36,36,2,21,17,38,0
68e945638d6bb3c8b5c4bca3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e46519359b7438a690f,Araveedu,593491,0,54,0,33,7,14,13,5,36,26,28,1,48,5,0,0,54,0,54,37,17,31,23,54,0,26,28,54,0
68e945638d6bb3c8b5c4bca4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e47519359b7438a6914,Galiveedu,593490,0,150,3,95,16,42,27,12,114,105,48,1,144,8,0,0,153,0,153,118,35,51,102,150,3,70,83,146,7
68e945638d6bb3c8b5c4bca5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e47519359b7438a6919,Veligallu,593489,0,32,0,20,6,6,9,0,23,22,10,0,31,1,0,0,32,0,32,28,4,5,27,32,0,15,17,32,0
68e945638d6bb3c8b5c4bca6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e47519359b7438a691e,Gopanapalle,593487,0,25,0,14,4,7,0,2,23,16,9,0,24,1,0,0,25,0,25,24,1,6,19,25,0,13,12,20,5
68e945638d6bb3c8b5c4bca7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e47519359b7438a6923,Gundlacheruvu,593486,0,37,0,16,11,10,12,0,25,23,14,0,36,1,0,0,37,0,37,29,8,8,29,37,0,20,17,36,1
68e945638d6bb3c8b5c4bca8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e48519359b7438a6928,Garugupalle,593485,0,37,2,19,5,15,9,3,27,28,11,1,37,1,0,0,39,0,39,28,11,6,33,38,1,21,18,39,0
68e945638d6bb3c8b5c4bca9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e371,GALIVEEDU,4826,63f99e48519359b7438a692d,Thumukunta,593484,1,39,0,15,13,11,11,4,25,27,13,1,37,2,0,0,39,1,39,33,7,9,31,39,1,19,21,36,4
