_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bd88,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e94519359b7438a6ec2,Tharigondarajupalle,595657,0,17,0,9,2,6,3,0,14,15,2,0,17,0,0,0,17,0,17,13,4,1,16,15,2,15,2,16,1
68e945638d6bb3c8b5c4bd89,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e94519359b7438a6ec7,Ramapuram,595656,0,24,0,16,3,5,8,0,16,14,10,0,21,3,1,1,22,0,24,20,4,8,16,24,0,20,4,24,0
68e945638d6bb3c8b5c4bd8a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e94519359b7438a6ecc,Tharigonda,595655,0,35,3,24,6,8,9,3,26,27,11,0,37,1,2,0,36,0,38,36,2,26,12,36,2,29,9,37,1
68e945638d6bb3c8b5c4bd8b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e95519359b7438a6ed1,Setlivaripalle,595654,0,23,2,13,5,7,12,0,13,22,3,0,21,4,1,0,24,0,25,23,2,19,6,24,1,18,7,25,0
68e945638d6bb3c8b5c4bd8c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e95519359b7438a6ed6,Arigalavaripalle,595653,1,17,0,9,2,7,5,0,13,15,3,0,17,1,0,0,18,0,18,13,5,8,10,18,0,13,5,18,0
68e945638d6bb3c8b5c4bd8d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e95519359b7438a6ee0,Gurramkonda,595648,0,45,2,22,9,16,20,1,26,32,15,0,46,1,1,0,46,0,47,31,16,30,17,35,12,25,22,47,0
68e945638d6bb3c8b5c4bd8e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e96519359b7438a6ee5,Chittiboyanapalle,595647,0,18,0,8,2,8,6,0,12,12,6,0,18,0,0,0,18,2,16,12,6,13,5,17,1,5,13,18,0
68e945638d6bb3c8b5c4bd8f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e96519359b7438a6eea,Sarimadugu,595646,0,24,1,19,2,4,24,0,1,22,3,0,23,2,0,0,25,0,25,17,8,16,9,17,8,18,7,25,0
68e945638d6bb3c8b5c4bd90,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e96519359b7438a6eef,Cherlopalle,595644,0,30,1,19,4,8,17,0,14,21,10,0,29,2,3,0,28,0,31,25,6,28,3,30,1,23,8,31,0
68e945638d6bb3c8b5c4bd91,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e373,GURRAMKONDA,4761,63f99e96519359b7438a6ef4,Pasalavandla Palle,595642,0,61,0,37,8,16,29,0,32,52,9,0,54,7,4,0,57,0,61,46,15,45,16,59,2,46,15,59,2
