_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bd98,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e98519359b7438a6f19,Kalakadakothapalle,595671,0,28,1,16,7,6,15,0,14,22,7,0,25,4,0,0,29,0,27,20,9,21,8,29,0,15,14,29,0
68e945638d6bb3c8b5c4bd99,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e98519359b7438a6f1e,Pothavaripalle,595673,0,12,1,7,2,4,9,0,4,8,5,0,12,1,0,0,13,0,13,1,12,6,7,12,1,7,6,11,2
68e945638d6bb3c8b5c4bd9a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e99519359b7438a6f23,Ratiguntapalle,595666,0,12,1,10,2,1,3,1,9,7,6,0,8,5,1,0,12,0,13,6,7,11,2,11,2,8,5,13,0
68e945638d6bb3c8b5c4bd9b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e99519359b7438a6f28,Devalapalle,595667,0,37,0,26,5,6,16,0,21,23,14,2,32,3,0,0,37,0,37,15,22,19,18,35,2,16,21,36,1
68e945638d6bb3c8b5c4bd9c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e99519359b7438a6f2d,Kalakadadoddi Palle,595670,0,13,1,11,1,2,6,0,8,6,8,0,14,0,0,0,14,0,14,3,11,3,11,14,0,5,9,12,2
68e945638d6bb3c8b5c4bd9d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e99519359b7438a6f32,Nawabpet,595664,0,20,0,16,2,2,9,0,11,12,8,2,18,0,0,0,20,0,20,17,3,11,9,19,1,7,13,20,0
68e945638d6bb3c8b5c4bd9e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9a519359b7438a6f37,Yerrakotapalle,595665,0,41,2,29,4,10,23,0,20,37,6,3,36,4,0,0,43,0,43,33,10,38,5,43,0,22,21,43,0
68e945638d6bb3c8b5c4bd9f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9a519359b7438a6f3c,Mudiamvaripalle,595663,0,24,0,14,3,7,12,0,12,12,12,0,19,5,0,0,24,0,24,15,9,18,6,22,3,8,16,23,2
68e945638d6bb3c8b5c4bda0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9a519359b7438a6f41,Enugondapalem,595662,0,41,2,27,7,9,21,0,22,31,12,2,39,2,0,0,42,0,42,24,19,22,21,41,2,23,20,37,6
68e945638d6bb3c8b5c4bda1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e375,KALAKADA,4764,63f99e9b519359b7438a6f46,Nadimicherla,595659,0,18,0,16,1,1,13,0,5,12,6,0,17,1,0,0,18,0,18,6,12,8,10,18,0,8,10,15,3
