_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bd51,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99e80519359b7438a6d50,Korlakunta,596074,0,11,0,5,1,5,9,0,2,10,1,0,10,1,2,0,9,0,11,4,7,6,5,8,3,5,6,10,1
68e945638d6bb3c8b5c4bdc9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea7519359b7438a7023,Marrikuntapalle,596072,0,41,2,26,6,11,4,3,36,32,11,0,39,4,0,0,43,0,43,35,8,32,11,43,0,25,18,42,1
68e945638d6bb3c8b5c4bdca,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea7519359b7438a7028,Guttapalem,596076,0,46,2,21,11,16,11,2,35,32,16,0,43,5,1,0,47,0,48,31,17,42,6,46,2,24,24,47,1
68e945638d6bb3c8b5c4bdcb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea7519359b7438a702d,Pathegada,596073,0,35,1,16,7,13,1,2,33,25,11,0,33,3,0,1,35,0,36,28,8,29,6,34,2,14,22,35,1
68e945638d6bb3c8b5c4bdcc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea7519359b7438a7032,Kalikirireddivari Palle,596075,0,46,2,24,7,17,8,1,39,36,12,2,43,3,2,0,46,0,48,37,11,40,7,47,1,24,24,48,0
68e945638d6bb3c8b5c4bdcd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea8519359b7438a7037,T.Sandrapalle,596067,1,13,1,9,1,5,10,0,5,11,4,1,12,2,3,0,12,0,15,9,6,7,8,13,2,5,10,15,0
68e945638d6bb3c8b5c4bdce,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea8519359b7438a703c,Kalikiri,596077,0,42,1,24,6,13,9,3,31,31,12,0,40,3,1,0,42,0,43,33,10,33,10,42,1,27,16,43,0
68e945638d6bb3c8b5c4bdcf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea8519359b7438a7041,Cheekatipalle,596064,0,21,1,10,5,7,1,1,20,20,2,1,20,1,0,0,22,0,22,16,6,18,4,22,0,12,10,22,0
68e945638d6bb3c8b5c4bdd0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea8519359b7438a7046,Parapatla,596070,0,20,1,7,6,8,9,0,12,12,9,1,18,2,0,0,21,2,19,10,11,16,5,19,2,6,15,21,0
68e945638d6bb3c8b5c4bdd1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e377,KALIKIRI,4765,63f99ea9519359b7438a704b,Medikurthi,596071,0,46,0,22,8,16,4,4,38,24,22,0,44,2,5,0,41,0,46,33,13,38,8,46,0,31,15,45,1
