_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bda8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9c519359b7438a6f6b,Kasireddipalle,595694,0,3,0,2,0,1,0,1,2,2,1,0,3,0,0,0,3,0,3,3,0,3,0,3,0,2,1,3,0
68e945638d6bb3c8b5c4bda9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9d519359b7438a6f70,Mahalrajupalle,595684,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
68e945638d6bb3c8b5c4bdaa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9d519359b7438a6f75,Yerlampalle,595690,0,3,0,3,0,0,0,0,4,3,1,0,3,0,0,0,3,0,3,4,0,3,1,4,0,1,3,4,0
68e945638d6bb3c8b5c4bdab,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9d519359b7438a6f7a,Gyarampalle,595688,0,39,1,25,3,12,0,4,36,31,9,2,35,3,0,0,39,0,39,40,0,37,3,40,0,16,24,39,1
68e945638d6bb3c8b5c4bdac,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9d519359b7438a6f7f,Gorantlapalle,595695,0,17,0,16,0,1,2,4,11,15,2,0,15,2,0,0,16,0,17,17,0,15,2,17,0,7,10,17,0
68e945638d6bb3c8b5c4bdad,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9e519359b7438a6f84,Kambhamvaripalle,595691,0,86,1,52,10,25,1,9,77,74,13,1,81,5,0,0,85,1,86,80,7,75,12,87,0,38,49,84,3
68e945638d6bb3c8b5c4bdae,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9e519359b7438a6f89,Maddipatlavandlapalle,595675,0,40,0,26,4,10,4,6,30,26,14,1,37,2,0,0,40,0,40,31,9,39,1,40,0,17,23,39,1
68e945638d6bb3c8b5c4bdaf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9e519359b7438a6f8e,Noothanakalva,595676,0,31,0,15,6,10,1,4,26,26,5,0,29,2,0,0,31,0,31,31,0,30,1,31,0,6,25,29,1
68e945638d6bb3c8b5c4bdb0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9e519359b7438a6f93,Garnimitta,595679,0,39,0,14,8,17,1,5,33,30,9,1,35,3,0,0,39,0,39,37,2,26,13,38,1,19,20,39,0
68e945638d6bb3c8b5c4bdb1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9f519359b7438a6f98,Thuvvapalle,595680,0,16,0,7,2,7,0,1,15,14,2,0,16,0,0,0,16,0,16,14,2,15,1,16,0,11,5,16,0
68e945638d6bb3c8b5c4bdb2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9f519359b7438a6f9d,Boppasamudram,595681,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
68e945638d6bb3c8b5c4bdb3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99e9f519359b7438a6fa7,Vagalla,595692,0,34,1,20,4,11,0,5,30,24,11,1,33,1,0,0,35,0,35,28,7,33,2,35,0,17,18,34,0
68e945638d6bb3c8b5c4bdb4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99ea0519359b7438a6fac,Sorakayalapet,595689,0,19,1,11,2,7,2,2,16,13,7,0,18,2,0,0,20,0,20,20,0,20,0,20,0,11,9,19,0
68e945638d6bb3c8b5c4bdb5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e379,KAMBHAMVARIPALLE,4766,63f99ea0519359b7438a6fb1,Kethamreddipalle,595693,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,2,0,2,0,1,0,2,0
