_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bd5d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e84519359b7438a6d9d,Obanapalle,593714,1,56,2,25,13,21,20,2,37,35,24,3,53,3,0,0,58,0,59,32,27,19,40,49,10,17,42,58,1
68e945638d6bb3c8b5c4bd5e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e84519359b7438a6da2,Vasudevapuram,593712,0,13,0,5,2,6,8,0,5,6,7,0,13,0,0,0,13,0,13,0,13,5,8,13,0,2,11,13,0
68e945638d6bb3c8b5c4bd5f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e85519359b7438a6da7,Srinivasapuram,593721,0,18,0,9,2,7,6,0,12,11,7,0,15,3,0,0,18,0,18,0,18,1,17,7,11,8,10,18,0
68e945638d6bb3c8b5c4bd60,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e85519359b7438a6dac,Gangarajupuram,593711,0,15,0,6,2,7,10,0,5,9,6,0,15,0,0,0,15,0,15,0,15,4,11,15,0,3,12,15,0
68e945638d6bb3c8b5c4bd61,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e85519359b7438a6db1,Kodur (West),593718,0,49,1,18,13,19,20,0,30,24,26,1,48,1,0,0,50,0,50,21,29,21,29,40,10,11,39,50,0
68e945638d6bb3c8b5c4bd62,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e85519359b7438a6db6,Anantharajupeta,593709,1,192,1,62,59,73,88,3,103,101,93,8,176,9,0,0,193,0,183,60,134,57,137,145,48,51,143,193,1
68e945638d6bb3c8b5c4bd63,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e86519359b7438a6dbb,K.Buduguntapalle,593717,0,29,1,11,8,11,8,0,22,12,18,3,24,3,1,0,29,0,30,15,15,10,20,21,8,9,21,30,0
68e945638d6bb3c8b5c4bd64,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e86519359b7438a6dc0,Vellelavari Khandrika,593713,0,53,0,24,10,19,34,0,19,32,21,1,50,2,0,0,51,0,52,9,44,18,35,49,3,6,47,52,1
68e945638d6bb3c8b5c4bd65,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e86519359b7438a6dc5,Chiyyavaram,593716,0,53,2,18,15,22,20,0,35,28,27,2,50,3,0,1,53,0,55,19,36,26,29,54,1,15,40,54,1
68e945638d6bb3c8b5c4bd66,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facb680216eb6c93e37b,KODUR,4832,63f99e86519359b7438a6dca,Settigunta,593722,0,98,1,38,26,36,48,0,52,44,56,1,95,3,1,0,98,0,99,18,82,52,48,95,5,32,68,99,1
