_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4be07,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eb8519359b7438a717c,Molakaladinne,596143,0,3,1,0,1,3,0,1,3,3,1,0,4,0,0,0,4,0,4,3,1,3,1,4,0,2,2,4,0
68e945638d6bb3c8b5c4be08,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eb8519359b7438a7181,Basinikonda (Part),596142,0,19,1,9,4,7,11,0,9,13,7,0,19,1,0,0,20,0,20,20,0,18,2,16,3,9,11,20,0
68e945638d6bb3c8b5c4be09,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eb9519359b7438a7186,Pamaiahgaripalle (OG),596148,0,8,0,6,1,1,2,0,6,6,2,0,8,0,0,0,8,0,7,7,1,8,0,7,1,2,6,8,0
68e945638d6bb3c8b5c4be0a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eb9519359b7438a718b,Valasapalle,596144,0,4,0,1,1,2,3,0,1,3,1,0,2,2,0,0,4,0,4,3,1,2,2,3,1,3,1,4,0
68e945638d6bb3c8b5c4be0b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eb9519359b7438a7190,Malepadu,596134,4,42,3,23,10,16,34,1,14,36,13,7,36,6,0,1,48,2,47,33,16,40,9,41,7,25,24,46,3
68e945638d6bb3c8b5c4be0c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eba519359b7438a719f,Ankisettipalle (OG),596147,0,43,1,25,6,13,29,1,14,40,4,1,41,2,0,0,44,0,44,37,7,38,6,37,6,26,18,42,1
68e945638d6bb3c8b5c4be0d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eba519359b7438a71a4,Venkappakota (OG),596146,0,31,0,15,6,10,14,4,13,24,7,0,25,6,0,0,31,0,31,22,9,24,7,22,9,13,18,29,2
68e945638d6bb3c8b5c4be0e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99eba519359b7438a71a9,Pothapalu,596141,3,36,3,22,6,14,33,0,9,33,9,2,35,5,0,1,41,2,40,29,13,35,7,32,10,26,16,41,1
68e945638d6bb3c8b5c4be0f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99ebb519359b7438a71ae,Kothavaripalle,596138,2,79,3,47,13,24,60,3,21,64,19,7,68,9,1,2,81,3,81,67,16,61,23,62,21,34,50,81,2
68e945638d6bb3c8b5c4be10,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e381,MADANAPALLE,4770,63f99ebb519359b7438a71b3,Theneegalavaripalle,596135,0,6,0,3,0,3,3,0,3,4,2,0,4,2,1,1,4,0,6,5,1,3,3,4,2,4,2,6,0
