_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bd6b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e88519359b7438a6de5,Gudupalle,595602,1,37,1,16,11,12,10,3,26,28,11,0,34,5,0,0,39,0,39,26,13,12,27,38,1,18,21,39,0
68e945638d6bb3c8b5c4bd6c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e88519359b7438a6dea,T.Sowdasamudram,595601,0,38,1,14,10,15,5,6,28,26,13,0,35,4,0,1,36,2,35,19,20,19,20,39,0,19,20,38,1
68e945638d6bb3c8b5c4bd6d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e89519359b7438a6def,Sompalle,595603,0,88,0,38,21,29,15,7,66,56,32,0,82,6,1,0,87,8,80,41,47,41,47,86,2,44,44,83,4
68e945638d6bb3c8b5c4bd6e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e89519359b7438a6df4,Mulakalacheruvu,595604,0,76,2,34,21,23,13,8,57,57,21,0,73,5,2,0,76,2,76,45,33,46,32,76,2,40,38,76,1
68e945638d6bb3c8b5c4bd6f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e89519359b7438a6df9,Maddinayanipalle,595614,0,73,4,33,17,27,14,7,56,59,18,3,65,9,1,0,76,10,67,54,23,37,40,71,6,37,40,72,6
68e945638d6bb3c8b5c4bd70,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8a519359b7438a6e0d,Vepurikota,595612,0,39,0,23,5,11,3,3,33,30,9,1,38,0,2,0,37,6,33,21,18,15,24,37,2,17,22,38,1
68e945638d6bb3c8b5c4bd71,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8a519359b7438a6e12,Kadirinathunikota,595607,1,33,3,21,6,10,5,2,30,28,9,1,29,7,0,0,36,0,36,16,21,22,15,35,2,14,23,36,1
68e945638d6bb3c8b5c4bd72,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8b519359b7438a6e1c,Devalcheruvu,595610,0,39,1,15,11,14,12,2,26,30,10,1,32,7,0,0,40,2,38,30,10,15,25,40,0,19,21,35,5
68e945638d6bb3c8b5c4bd73,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8b519359b7438a6e26,Peddapalem,595609,0,39,2,21,6,14,11,2,28,31,10,0,38,3,0,0,41,5,36,13,28,22,19,40,0,20,21,40,1
68e945638d6bb3c8b5c4bd74,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8c519359b7438a6e2b,Burakayalakota,595611,0,84,1,37,20,29,23,5,58,57,29,0,72,13,3,0,80,3,81,42,44,41,45,81,5,41,45,84,2
68e945638d6bb3c8b5c4bd75,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e383,MULAKALACHERUVU,4771,63f99e8c519359b7438a6e30,Kalavapalle,595600,0,31,0,15,5,11,3,4,24,16,15,0,31,0,0,0,31,0,31,23,8,13,18,31,0,15,16,29,2
