_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bd52,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e81519359b7438a6d5a,Yerraguntakota,593705,0,88,4,45,24,23,60,8,24,67,25,4,67,21,9,0,83,0,92,15,77,37,55,86,6,58,34,83,9
68e945638d6bb3c8b5c4bd53,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e81519359b7438a6d5f,Rallacheruvupalle,593697,0,16,1,9,6,2,14,0,3,10,7,2,10,5,0,0,17,0,17,3,14,8,9,15,2,13,4,14,3
68e945638d6bb3c8b5c4bd54,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e81519359b7438a6d64,Gadela,593706,0,42,2,24,8,12,31,1,12,35,9,3,26,15,4,1,39,0,44,25,19,35,9,39,5,26,18,43,1
68e945638d6bb3c8b5c4bd55,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e81519359b7438a6d69,Botimeedapalle,593698,0,38,2,24,7,9,26,2,12,26,14,1,28,11,3,0,37,0,40,9,31,13,27,32,8,28,12,38,2
68e945638d6bb3c8b5c4bd56,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e82519359b7438a6d6e,Mukkavaripalle,593701,0,39,3,18,9,15,32,1,9,32,10,1,29,12,1,0,41,0,42,19,23,33,9,42,0,21,21,42,0
68e945638d6bb3c8b5c4bd57,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e82519359b7438a6d78,Gobburuvaripalle,593695,0,24,2,13,8,5,21,0,5,21,5,1,19,6,0,0,26,0,26,4,22,10,16,25,1,16,10,25,1
68e945638d6bb3c8b5c4bd58,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e83519359b7438a6d82,Bommavaram,593699,0,35,3,28,5,5,30,0,8,24,14,4,23,11,2,0,36,0,38,6,32,9,29,32,6,26,12,33,5
68e945638d6bb3c8b5c4bd59,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e83519359b7438a6d87,Govindampalle,593700,0,42,1,19,9,15,34,0,9,39,4,1,35,6,2,0,40,0,42,14,29,23,20,40,4,21,22,42,2
68e945638d6bb3c8b5c4bd5a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e83519359b7438a6d8c,Venkatesapuram,593694,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
68e945638d6bb3c8b5c4bd5b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e389,OBULAVARIPALLE,4840,63f99e83519359b7438a6d91,Pedda Rampadu,593696,0,83,6,47,20,22,67,3,19,62,27,6,57,26,1,0,88,0,89,31,58,42,47,76,13,56,33,82,7
