_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bdf0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb1519359b7438a70ec,Pattamvandlapalle,596103,0,77,4,37,19,25,30,2,49,68,13,1,68,12,2,0,79,0,81,64,17,55,26,67,12,37,44,75,6
68e945638d6bb3c8b5c4bdf1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb1519359b7438a70f6,Rangasamudram,596109,4,73,3,40,15,25,52,1,27,66,14,2,71,7,0,0,80,1,79,61,19,57,23,54,26,40,40,76,4
68e945638d6bb3c8b5c4bdf2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb2519359b7438a7100,Thummarakunta,596113,0,77,2,52,7,20,23,5,51,63,16,2,69,8,2,2,75,0,79,62,17,50,29,68,11,35,44,75,4
68e945638d6bb3c8b5c4bdf3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb2519359b7438a7105,T.Sadum,596114,3,30,3,18,6,12,26,3,7,32,4,4,21,9,3,0,32,0,35,20,16,24,12,32,4,23,13,32,4
68e945638d6bb3c8b5c4bdf4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb2519359b7438a710a,Boorlapalle,596118,0,36,4,21,5,14,10,0,30,32,8,0,38,2,0,0,40,0,40,29,11,21,19,39,1,25,15,36,4
68e945638d6bb3c8b5c4bdf5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb3519359b7438a7114,Peddathippasamudram,596112,2,73,7,37,13,32,34,0,48,72,10,2,67,13,6,0,76,0,82,63,19,47,35,75,7,52,30,79,3
68e945638d6bb3c8b5c4bdf6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb3519359b7438a7119,Madunuru,596110,0,36,0,13,9,14,20,0,16,29,7,0,33,3,0,0,36,0,36,19,17,28,8,36,0,19,17,36,0
68e945638d6bb3c8b5c4bdf7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb3519359b7438a711e,Mallela,596119,0,38,2,27,4,9,23,1,16,34,6,1,36,3,0,0,40,0,40,32,8,23,17,37,3,25,15,40,0
68e945638d6bb3c8b5c4bdf8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb4519359b7438a7123,Kandukuru,596104,1,36,3,20,5,15,26,0,14,31,9,1,36,3,0,0,40,0,40,31,9,30,10,33,7,19,21,40,0
68e945638d6bb3c8b5c4bdf9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38d,PEDDATHIPPASAMUDRAM,4782,63f99eb4519359b7438a7128,Katnagallu,596105,2,17,3,13,2,7,12,0,10,16,6,2,18,2,1,0,21,0,22,16,6,19,3,17,4,16,6,21,1
