_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bd08,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e66519359b7438a6b6f,Singareddipalle,593612,0,40,0,15,11,14,4,2,34,24,16,8,31,1,0,0,40,0,40,39,1,32,8,35,5,11,29,40,0
68e945638d6bb3c8b5c4bd09,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e66519359b7438a6b74,Thirumalarajupeta,593611,0,20,1,6,7,8,4,2,15,10,11,5,15,1,0,0,21,0,21,21,0,19,2,21,0,8,13,21,0
68e945638d6bb3c8b5c4bd0a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e66519359b7438a6b7e,Komantharajupuram,593619,0,14,0,5,2,7,5,0,9,10,4,2,11,1,0,0,14,0,14,14,0,12,2,14,0,6,8,13,1
68e945638d6bb3c8b5c4bd0b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e67519359b7438a6b83,Narayana Nellore,593622,0,25,0,6,9,10,5,3,17,19,6,4,21,0,1,0,24,0,25,23,2,14,11,24,1,11,14,20,5
68e945638d6bb3c8b5c4bd0c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e67519359b7438a6b88,Nallapureddipalle,593623,0,40,0,18,8,14,4,3,33,27,13,11,27,2,0,0,40,0,40,38,2,29,11,39,1,18,22,37,3
68e945638d6bb3c8b5c4bd0d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e67519359b7438a6b8d,Itimarpuram,593626,0,79,1,18,28,34,16,3,61,57,23,22,57,1,2,0,78,0,80,77,3,57,23,77,3,32,48,74,6
68e945638d6bb3c8b5c4bd0e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e68519359b7438a6b97,Thirunampalle,593600,0,9,0,6,2,1,4,1,4,5,4,1,7,1,1,0,8,0,9,9,0,4,5,9,0,4,5,8,1
68e945638d6bb3c8b5c4bd0f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e68519359b7438a6b9c,Siddavaram,593610,0,19,0,5,6,8,1,1,17,11,8,7,11,1,0,0,19,0,19,18,1,14,5,19,0,8,11,18,1
68e945638d6bb3c8b5c4bd10,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e69519359b7438a6ba6,Velagacherla,593606,0,31,0,9,9,13,5,1,25,22,9,7,20,4,3,0,28,0,31,31,0,26,5,30,1,13,18,29,2
68e945638d6bb3c8b5c4bd11,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e38f,PENAGALUR,4842,63f99e69519359b7438a6bb0,Jattivaripalle,593621,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
