_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bdbb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea2519359b7438a6fd6,Jandla,596051,0,12,0,5,2,5,2,2,8,8,4,0,11,1,0,0,12,0,12,0,13,11,2,12,1,7,5,13,0
68e945638d6bb3c8b5c4bdbc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea2519359b7438a6fdb,Agraharam,596062,0,23,0,12,5,8,4,3,19,16,10,0,21,1,0,0,18,0,20,10,18,20,7,25,3,14,13,27,1
68e945638d6bb3c8b5c4bdbd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea2519359b7438a6fe0,Bodumalluvaripalle,596057,0,39,0,9,13,17,15,1,23,25,14,0,37,2,0,0,38,0,39,8,32,15,25,38,2,28,11,39,1
68e945638d6bb3c8b5c4bdbe,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea3519359b7438a6fe5,Vepulabylu,596056,0,38,0,8,15,17,10,3,28,26,15,1,32,2,2,0,26,0,30,15,27,36,7,38,5,17,24,42,1
68e945638d6bb3c8b5c4bdbf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea3519359b7438a6fea,Pileru (CT),596063,0,30,0,6,8,16,10,0,20,21,9,1,24,5,0,0,30,0,30,7,24,20,11,30,1,15,16,27,4
68e945638d6bb3c8b5c4bdc0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea3519359b7438a6fef,Mudupulavemula,596052,0,8,1,1,4,5,1,3,7,6,5,0,9,0,1,0,7,0,8,4,8,11,1,8,4,6,6,12,0
68e945638d6bb3c8b5c4bdc1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea3519359b7438a6ff4,Maddelacheruvu,596055,0,3,0,1,0,2,1,0,2,3,0,0,2,1,0,0,3,0,3,2,1,1,2,3,0,1,2,2,1
68e945638d6bb3c8b5c4bdc2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea4519359b7438a6ff9,Gudarevupalle,596058,0,14,0,3,5,6,1,2,14,14,4,0,12,2,0,0,12,0,13,10,23,21,8,31,5,12,9,36,0
68e945638d6bb3c8b5c4bdc3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea4519359b7438a7003,Mellacheruvu,596049,0,45,0,16,11,19,14,4,30,36,12,2,40,3,1,0,43,0,45,15,36,31,18,45,5,28,21,45,6
68e945638d6bb3c8b5c4bdc4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facc680216eb6c93e391,PILER,4784,63f99ea4519359b7438a7008,Talupula,596050,0,49,0,20,15,15,18,2,30,32,18,0,39,9,0,0,40,0,44,7,41,44,6,40,8,23,27,45,5
