_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bce7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5b519359b7438a6a9c,Bandlapalle,593566,1,69,3,13,29,30,13,0,61,52,22,0,67,3,5,0,62,0,68,63,15,36,40,74,4,34,41,69,9
68e945638d6bb3c8b5c4bce8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5b519359b7438a6aa1,Chitlur,593565,1,47,1,12,17,21,7,0,44,25,26,1,41,5,5,0,31,0,40,42,9,23,28,47,4,24,27,34,17
68e945638d6bb3c8b5c4bce9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5b519359b7438a6aa6,Hasanapuram,593564,0,51,2,12,20,22,28,0,28,49,7,0,48,3,6,0,45,0,51,49,9,34,23,55,4,27,29,58,1
68e945638d6bb3c8b5c4bcea,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5b519359b7438a6aab,Gopagudipalle,593557,0,75,5,14,26,41,24,4,53,32,50,1,69,6,23,0,49,0,75,75,9,49,34,78,7,42,40,79,6
68e945638d6bb3c8b5c4bceb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5c519359b7438a6ab0,Rachapalle,593563,0,30,1,5,10,16,15,0,16,27,5,0,29,2,0,0,27,0,28,29,7,29,7,36,0,19,15,36,0
68e945638d6bb3c8b5c4bcec,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5c519359b7438a6ab5,Saraswathipalle,593562,0,37,1,7,14,17,21,0,18,31,9,0,32,5,7,0,30,0,37,37,3,20,20,38,2,17,23,39,1
68e945638d6bb3c8b5c4bced,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5c519359b7438a6aba,Nallaguttapalle,593561,0,30,1,6,10,15,20,1,12,27,6,0,30,1,2,0,29,0,31,28,6,13,20,38,0,18,15,30,6
68e945638d6bb3c8b5c4bcee,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5c519359b7438a6abf,Suddamalla,593560,0,35,3,5,17,17,7,1,32,28,12,0,36,1,3,0,34,0,37,34,6,12,28,36,4,22,18,33,7
68e945638d6bb3c8b5c4bcef,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5d519359b7438a6ac4,Neelakantharaopeta,593559,0,25,0,3,10,12,17,2,8,25,3,0,22,1,2,0,19,0,22,31,0,25,6,30,1,17,12,31,0
68e945638d6bb3c8b5c4bcf0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e397,RAMAPURAM,4850,63f99e5d519359b7438a6ac9,Guvvalacheruvu,593558,0,26,5,6,11,14,13,1,17,25,6,0,28,3,0,0,31,0,31,26,5,15,16,28,3,18,13,31,0
