_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4be21,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec0519359b7438a721b,Elavanellore,596530,0,24,2,14,4,8,3,0,23,25,1,2,23,1,0,0,26,0,26,18,8,24,2,26,0,12,14,26,0
68e945638d6bb3c8b5c4be22,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec0519359b7438a7220,R.Nadimpalle,596529,0,38,1,18,7,14,5,1,33,34,5,2,35,2,1,0,38,0,39,26,13,21,18,34,5,20,19,36,3
68e945638d6bb3c8b5c4be23,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec1519359b7438a7225,Ramasamudram,596531,0,40,0,20,8,12,9,1,30,26,14,3,34,3,0,0,40,0,40,32,8,17,23,36,4,18,22,38,2
68e945638d6bb3c8b5c4be24,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec1519359b7438a722a,Chokkandlapalle,596533,1,38,2,25,6,10,6,2,33,29,12,1,37,3,0,0,41,0,41,30,11,21,20,35,6,16,25,36,5
68e945638d6bb3c8b5c4be25,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec1519359b7438a722f,Arikela,596536,0,42,3,31,4,10,5,6,34,30,15,2,39,4,0,0,45,0,45,41,4,32,13,44,1,24,21,44,1
68e945638d6bb3c8b5c4be26,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec2519359b7438a7234,Nariganipalle,596525,0,35,1,23,5,9,5,0,33,33,5,1,33,2,0,0,36,0,36,33,5,30,8,37,1,24,14,38,0
68e945638d6bb3c8b5c4be27,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec2519359b7438a7239,Chembakur,596526,0,42,1,26,7,10,7,3,33,37,6,2,33,8,0,0,43,0,43,40,3,28,15,43,0,20,23,42,1
68e945638d6bb3c8b5c4be28,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec2519359b7438a723e,Peddakurapalle,596528,0,39,2,24,6,11,7,2,32,35,6,0,41,0,0,0,41,0,41,22,19,19,22,40,1,24,17,37,4
68e945638d6bb3c8b5c4be29,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec2519359b7438a7243,Kurijala,596532,0,14,0,8,2,4,2,0,12,7,7,2,11,1,0,0,14,0,14,12,2,7,7,14,0,5,9,9,5
68e945638d6bb3c8b5c4be2a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e399,RAMASAMUDRAM,4792,63f99ec3519359b7438a7248,Kappalle,596527,0,37,1,21,3,14,7,2,29,33,5,5,31,2,0,0,38,0,38,26,12,21,17,38,0,19,19,32,6
