_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bccd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e52519359b7438a69f8,KASBAGOLLAPALLE,930464,0,3,0,1,1,1,0,0,3,1,2,0,2,0,0,0,2,0,2,5,0,1,4,5,0,5,0,5,0
68e945638d6bb3c8b5c4bcce,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e53519359b7438a69fd,Chennamukkapalle (CT),593543,0,25,0,4,12,9,8,0,17,24,1,0,22,3,12,0,13,0,25,16,10,13,13,24,2,12,13,25,1
68e945638d6bb3c8b5c4bccf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e53519359b7438a6a07,Botlacheruvu,593533,0,11,0,5,4,2,4,2,5,8,3,0,11,0,0,0,11,0,11,7,4,4,7,10,1,5,6,11,0
68e945638d6bb3c8b5c4bcd0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e53519359b7438a6a0c,Yandapalle,593532,1,44,0,10,14,21,8,4,33,34,11,0,41,4,6,0,36,0,43,32,13,17,26,40,5,26,19,45,0
68e945638d6bb3c8b5c4bcd1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e54519359b7438a6a11,Gorlamudiveedu,593531,0,28,0,10,3,15,5,6,17,21,7,0,24,3,6,0,19,0,26,13,16,6,20,29,0,11,17,27,2
68e945638d6bb3c8b5c4bcd2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e54519359b7438a6a1b,Madhavaram,593529,0,81,1,32,16,34,16,5,63,64,21,0,73,8,36,0,42,0,79,67,19,37,47,79,7,40,45,83,3
68e945638d6bb3c8b5c4bcd3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e54519359b7438a6a20,RAYACHOTI,930463,0,28,0,6,10,12,6,1,21,22,6,0,24,4,12,0,16,0,28,20,8,11,17,27,1,22,6,28,0
68e945638d6bb3c8b5c4bcd4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e55519359b7438a6a25,Sibyala,593542,1,31,2,12,8,18,11,3,27,38,6,0,31,1,2,1,27,0,30,21,29,26,22,48,2,23,22,38,12
68e945638d6bb3c8b5c4bcd5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e55519359b7438a6a2a,Pemmadapalle,593541,0,40,1,19,8,14,7,2,32,32,9,0,38,2,4,0,33,0,40,20,20,18,23,41,0,21,20,29,12
68e945638d6bb3c8b5c4bcd6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39b,RAYACHOTY,4851,63f99e55519359b7438a6a2f,Dullavaripalle,593540,0,24,1,12,3,10,3,1,21,21,5,0,23,2,3,0,21,0,24,23,4,9,18,26,1,11,16,27,0
