_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bcb7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4c519359b7438a6977,Guttapalle,593511,0,34,1,14,7,14,15,2,18,23,12,0,28,7,1,0,34,0,35,18,17,30,5,32,3,21,14,33,2
68e945638d6bb3c8b5c4bcb8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4c519359b7438a697c,Devapatla,593509,0,89,2,40,17,34,14,17,60,44,47,12,65,14,0,0,91,0,91,78,13,62,29,87,4,43,48,90,1
68e945638d6bb3c8b5c4bcb9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4c519359b7438a6981,Gunnikuntla,593504,1,44,0,15,10,20,20,0,25,30,15,0,41,4,0,0,45,0,45,10,35,36,9,35,10,16,29,16,29
68e945638d6bb3c8b5c4bcba,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4c519359b7438a6986,Sambepalle,593507,0,34,0,12,8,14,3,2,29,20,14,1,29,4,0,0,33,0,34,6,28,15,19,26,8,17,17,19,15
68e945638d6bb3c8b5c4bcbb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4d519359b7438a698b,Guriginjakunta,593505,0,32,0,21,3,8,7,4,21,16,16,0,29,3,1,0,31,0,32,20,12,15,17,27,5,14,18,27,5
68e945638d6bb3c8b5c4bcbc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4d519359b7438a6990,Dudyala,593506,0,49,0,22,11,16,7,5,37,30,19,0,38,11,0,0,49,0,49,13,38,26,25,46,5,17,33,30,21
68e945638d6bb3c8b5c4bcbd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4d519359b7438a6995,Routhukunta,593508,0,47,1,20,8,20,15,2,32,30,19,0,43,5,0,0,48,0,48,33,16,32,17,49,0,25,24,46,3
68e945638d6bb3c8b5c4bcbe,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4e519359b7438a699a,Settipalle,593512,0,49,0,16,13,21,6,6,38,28,22,0,42,7,0,0,49,0,49,30,20,28,22,43,7,19,31,33,17
68e945638d6bb3c8b5c4bcbf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4e519359b7438a699f,Sho.Somavaram,593510,0,33,1,20,5,9,1,4,29,18,16,0,26,8,1,0,33,0,34,31,3,17,17,30,4,9,25,33,1
68e945638d6bb3c8b5c4bcc0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39d,SAMBEPALLE,4852,63f99e4e519359b7438a69a4,Motakatla,593503,0,39,5,20,11,13,5,3,37,26,19,0,33,11,21,0,23,0,43,6,39,19,26,36,9,18,27,28,17
