_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bcc2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e4f519359b7438a69b0,Mudampadu,593526,0,43,5,6,17,25,14,1,33,30,18,0,42,6,1,1,44,1,45,23,25,18,30,48,0,25,23,45,3
68e945638d6bb3c8b5c4bcc3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e4f519359b7438a69b5,Peddinenikalva,593525,0,44,2,17,12,17,17,1,28,32,15,0,43,1,0,0,44,0,44,22,25,23,24,47,0,27,20,46,1
68e945638d6bb3c8b5c4bcc4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e4f519359b7438a69bf,Rayavaram,593522,1,75,10,33,22,32,48,2,40,60,30,1,75,5,4,0,71,0,79,50,45,37,55,93,3,57,35,92,4
68e945638d6bb3c8b5c4bcc5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e50519359b7438a69ce,Gundlapalle,593518,0,28,2,10,6,14,14,2,15,22,10,0,26,2,2,0,26,0,28,25,9,10,23,35,0,12,20,26,9
68e945638d6bb3c8b5c4bcc6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e50519359b7438a69d3,Reddivaripalle,593517,0,38,2,18,8,15,21,2,18,37,5,0,34,5,0,0,31,0,36,23,20,6,36,43,1,17,25,42,2
68e945638d6bb3c8b5c4bcc7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e51519359b7438a69d8,Yerramanenipalem,593516,0,31,3,10,9,15,7,1,27,30,5,1,29,3,2,0,30,0,32,19,16,24,11,34,1,25,10,31,4
68e945638d6bb3c8b5c4bcc8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e51519359b7438a69dd,T Sundupalle,593514,0,79,8,32,22,33,35,4,50,55,34,2,76,8,0,0,81,0,84,52,39,42,49,90,1,51,40,89,2
68e945638d6bb3c8b5c4bcc9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e51519359b7438a69e2,Polimerapalle,593513,0,74,4,36,18,25,41,1,39,61,22,0,74,3,0,0,72,0,75,53,32,27,58,84,2,48,37,82,4
68e945638d6bb3c8b5c4bcca,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e51519359b7438a69e7,Madithadu,593523,0,81,5,28,26,33,42,3,42,66,21,1,78,5,0,0,82,0,83,38,50,39,48,87,1,53,34,65,23
68e945638d6bb3c8b5c4bccb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a1,T.SUNDUPALLE,4856,63f99e52519359b7438a69ec,Thimmasamudram,593519,0,20,0,7,6,7,15,1,4,16,4,0,18,1,0,0,16,0,18,5,16,4,16,22,0,12,8,21,1
