_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bd76,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8c519359b7438a6e3c,Kotakonda,595631,0,42,1,23,8,12,14,1,28,32,11,3,39,1,0,0,43,0,43,24,19,30,13,42,1,25,18,43,0
68e945638d6bb3c8b5c4bd77,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8d519359b7438a6e41,Renimakulapalle,595630,0,39,1,22,5,13,4,1,35,31,9,5,34,1,0,0,40,0,40,27,13,27,13,40,0,21,19,36,4
68e945638d6bb3c8b5c4bd78,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8d519359b7438a6e46,Kannemadugu,595629,0,40,3,24,3,16,13,0,30,35,8,8,29,6,0,0,43,0,43,29,14,28,15,43,0,23,20,41,2
68e945638d6bb3c8b5c4bd79,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8d519359b7438a6e50,Eddulavaripalle,595624,0,36,1,26,2,9,2,8,27,27,10,3,31,3,0,0,37,0,37,22,15,20,17,36,1,23,14,34,3
68e945638d6bb3c8b5c4bd7a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8e519359b7438a6e55,Kotala,595617,1,42,0,30,5,8,5,0,38,31,12,6,36,1,0,0,43,0,43,29,14,24,19,42,1,27,16,42,1
68e945638d6bb3c8b5c4bd7b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8e519359b7438a6e5a,Kukkarajupalle,595632,0,47,2,31,4,14,9,1,39,42,7,1,45,3,0,0,49,0,49,38,11,28,21,49,0,26,23,49,0
68e945638d6bb3c8b5c4bd7c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8e519359b7438a6e5f,Kosuvaripalle,595627,0,76,2,53,5,20,16,11,51,65,13,2,71,5,0,0,78,0,78,58,20,50,28,76,2,53,25,78,0
68e945638d6bb3c8b5c4bd7d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e8f519359b7438a6e6e,Thamballapalle,595623,0,91,1,53,10,29,19,8,65,77,15,7,74,11,0,0,92,0,92,68,24,58,34,91,1,59,33,89,3
68e945638d6bb3c8b5c4bd7e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e90519359b7438a6e73,Gundlapalle,595622,0,39,4,26,7,10,6,6,31,33,10,3,34,6,0,0,43,0,43,40,3,32,11,39,4,28,15,42,1
68e945638d6bb3c8b5c4bd7f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e39f,THAMBALLAPALLE,4801,63f99e91519359b7438a6e87,Gopidinne,595618,0,42,1,26,4,13,7,3,33,36,7,1,38,4,0,0,43,0,43,31,12,30,13,43,0,21,22,42,1
