_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4bdd7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eaa519359b7438a706b,Gandaboyanapalle,596094,0,39,0,17,7,15,13,2,24,26,13,0,38,1,1,0,38,0,39,29,10,18,21,37,2,18,21,39,0
68e945638d6bb3c8b5c4bdd8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eaa519359b7438a7070,Chintaparthi,596093,1,69,0,29,16,25,19,0,51,45,25,1,65,4,1,0,69,0,70,37,33,40,29,67,3,33,37,66,4
68e945638d6bb3c8b5c4bdd9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eab519359b7438a7075,Aramadaka,596089,0,4,0,3,1,0,1,0,3,4,0,0,4,0,0,0,4,0,4,2,2,2,2,3,1,1,3,4,0
68e945638d6bb3c8b5c4bdda,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eab519359b7438a707a,Vittalam,596087,0,7,0,3,0,4,2,0,5,3,4,0,7,0,0,0,7,0,7,2,5,6,1,7,0,4,3,6,1
68e945638d6bb3c8b5c4bddb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eab519359b7438a707f,Ayyavaripalle,596084,0,17,0,7,4,6,3,2,12,13,4,0,17,0,0,0,17,0,17,10,7,4,13,17,0,7,10,17,0
68e945638d6bb3c8b5c4bddc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eab519359b7438a7084,Nagarimadugu,596079,0,13,1,6,2,6,7,1,6,8,6,0,13,1,2,1,11,0,14,8,6,7,7,12,2,3,11,13,1
68e945638d6bb3c8b5c4bddd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eac519359b7438a7089,Velagapalle,596078,0,16,0,9,2,5,0,0,16,11,5,1,14,1,0,0,16,0,16,7,9,4,12,16,0,9,7,13,3
68e945638d6bb3c8b5c4bdde,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eac519359b7438a708e,Jammallapalle,596092,0,16,0,8,4,4,5,0,11,13,3,1,14,1,0,0,16,0,16,11,5,5,11,15,1,9,7,16,0
68e945638d6bb3c8b5c4bddf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eac519359b7438a7093,Mugalamarri,596091,0,20,0,14,2,4,3,2,15,12,8,0,19,1,0,0,20,0,20,13,7,9,11,19,1,9,11,20,0
68e945638d6bb3c8b5c4bde0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eac519359b7438a7098,Chinthalavaripalle,596090,0,17,1,8,3,7,4,0,14,10,8,1,15,2,0,0,18,0,18,7,11,11,7,18,0,10,8,13,5
68e945638d6bb3c8b5c4bde1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99ead519359b7438a709d,Kuraparthi,596088,1,29,1,9,9,13,10,0,21,19,12,1,28,2,0,0,31,0,31,23,8,18,12,28,3,17,14,30,0
68e945638d6bb3c8b5c4bde2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99ead519359b7438a70a2,Valmikipuram,596086,0,89,3,36,14,42,29,5,58,63,29,2,83,7,14,0,78,0,92,48,44,29,61,90,2,41,51,83,9
68e945638d6bb3c8b5c4bde3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99ead519359b7438a70a7,Jarravaripalle,596085,0,60,1,30,14,17,17,3,41,33,28,1,55,5,1,0,60,0,61,40,21,26,35,60,1,24,37,59,2
68e945638d6bb3c8b5c4bde4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99ead519359b7438a70ac,Manchuru,596083,0,36,0,18,5,13,2,1,33,25,11,0,34,2,8,0,28,0,36,22,14,10,26,36,0,9,27,33,3
68e945638d6bb3c8b5c4bde5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eae519359b7438a70b1,Thatiguntapalle,596082,0,39,0,22,4,13,6,1,32,31,8,0,39,0,1,0,38,0,39,26,13,19,20,37,2,11,28,39,0
68e945638d6bb3c8b5c4bde6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.914Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99e46519359b7438a68fb,Annamayya,753,6492facd680216eb6c93e3a3,VALMIKIPURAM,4807,63f99eae519359b7438a70b6,T.Sakirevupalle,596081,0,16,1,0,8,9,2,1,14,6,11,0,17,0,2,0,15,0,17,14,3,4,13,16,1,7,10,17,0
