_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4b7ce,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca4519359b7438a4a45,Sankaralingam Gudipadu,590685,0,40,0,0,31,9,12,7,21,40,0,0,37,3,0,0,40,0,40,0,40,13,27,39,1,36,4,0,40
68e945638d6bb3c8b5c4b7cf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca4519359b7438a4a4a,Kukatla Palle,590689,0,39,0,0,24,15,0,7,32,38,1,0,35,4,1,0,38,0,39,0,39,8,31,39,0,32,7,0,39
68e945638d6bb3c8b5c4b7d0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca4519359b7438a4a4f,Gorre Padu,590690,0,80,0,0,55,25,11,8,61,80,0,0,75,5,0,0,80,14,66,0,80,2,77,80,0,71,9,0,79
68e945638d6bb3c8b5c4b7d1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca5519359b7438a4a54,Koppera Padu,590691,0,40,0,0,26,14,14,7,19,40,0,0,35,5,0,0,40,0,40,0,40,39,1,39,1,40,0,19,21
68e945638d6bb3c8b5c4b7d2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca5519359b7438a4a59,Valla Palle,590692,0,80,0,0,46,34,30,7,43,75,5,1,60,19,0,0,80,1,79,0,79,66,14,79,1,78,2,14,66
68e945638d6bb3c8b5c4b7d3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca5519359b7438a4a5e,Mukteswaram,590686,0,40,1,0,23,18,12,2,27,41,0,0,29,12,0,0,41,0,41,1,40,24,17,41,0,37,4,21,20
68e945638d6bb3c8b5c4b7d4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca5519359b7438a4a63,Guntupalle,590687,0,65,14,0,23,56,54,4,21,71,8,3,38,38,1,0,78,0,79,0,79,26,53,78,1,70,9,31,48
68e945638d6bb3c8b5c4b7d5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca6519359b7438a4a68,Uppumaguluru,590680,0,63,0,0,51,12,35,7,21,63,0,0,36,27,12,0,51,0,63,0,63,40,23,1,62,55,8,44,19
68e945638d6bb3c8b5c4b7d6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca6519359b7438a4a6d,Konidena,590682,0,115,4,0,93,26,49,4,66,111,8,0,107,12,0,0,119,0,119,1,118,78,41,106,13,113,6,40,79
68e945638d6bb3c8b5c4b7d7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3ab,BALLIKURAVA,5456,63f99ca6519359b7438a4a72,Koppera Palem,590679,0,40,0,0,18,22,20,0,20,36,4,0,38,2,0,0,40,0,40,4,36,25,15,33,7,38,2,7,32
