_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4b76b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c88519359b7438a4832,Pesarlanka,590433,0,21,0,1,2,18,21,0,0,19,2,0,21,0,3,0,18,0,21,0,21,11,10,21,0,21,0,9,12
68e945638d6bb3c8b5c4b76c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c88519359b7438a483c,Surepalle,590427,0,40,0,0,3,37,36,0,4,36,4,0,40,0,0,0,40,0,40,5,35,8,32,40,0,40,0,9,31
68e945638d6bb3c8b5c4b76d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c88519359b7438a4841,Pedapulivarru,590431,0,38,4,0,7,35,42,0,0,37,5,0,31,11,2,0,40,0,42,18,24,14,28,35,7,39,3,26,16
68e945638d6bb3c8b5c4b76e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c89519359b7438a4846,Pedalanka,590434,0,21,0,0,1,20,21,0,0,21,0,0,21,0,0,0,21,0,21,0,21,11,10,21,0,21,0,11,10
68e945638d6bb3c8b5c4b76f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c89519359b7438a484b,Oleru,590435,0,42,0,0,4,38,42,0,0,39,3,0,40,2,0,0,42,0,42,0,42,38,4,38,4,41,1,0,42
68e945638d6bb3c8b5c4b770,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c89519359b7438a4850,Konetipuram,590428,0,42,0,1,10,31,42,0,0,42,0,0,1,41,0,0,42,0,42,42,0,25,17,42,0,36,6,37,5
68e945638d6bb3c8b5c4b771,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c89519359b7438a4855,Bhattiprolu,590426,0,83,0,0,8,75,83,0,0,79,4,0,26,57,0,0,83,0,83,77,6,46,37,81,2,76,7,81,2
68e945638d6bb3c8b5c4b772,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c8a519359b7438a485a,Pallekona,590429,0,40,0,0,5,35,40,0,0,40,0,0,16,24,0,0,40,1,39,40,0,20,20,40,0,38,2,32,8
68e945638d6bb3c8b5c4b773,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c8a519359b7438a485f,Gorigapudi,590430,0,42,0,0,12,30,42,0,0,37,5,0,38,4,0,0,42,0,42,5,37,6,36,42,0,42,0,10,32
68e945638d6bb3c8b5c4b774,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492face680216eb6c93e3af,BHATTIPROLU,4928,63f99c8a519359b7438a4864,Vellaturu,590432,0,41,2,0,4,39,42,0,1,38,5,0,12,31,0,0,43,0,43,17,26,17,26,43,0,43,0,7,36
