_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4b761,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c85519359b7438a47f9,Potharlanka,590423,0,40,109,0,9,140,144,0,5,117,32,0,32,117,0,0,149,0,149,0,149,67,81,140,9,128,21,62,86
68e945638d6bb3c8b5c4b762,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c85519359b7438a47fe,Gajullanka,590415,0,9,38,0,2,45,47,0,0,35,12,1,5,41,0,0,47,0,47,0,47,32,15,47,0,40,7,3,44
68e945638d6bb3c8b5c4b763,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c85519359b7438a4803,Ipur,590414,0,38,18,1,1,54,56,0,0,38,18,0,30,26,5,2,49,4,52,4,52,6,50,56,0,53,3,45,11
68e945638d6bb3c8b5c4b764,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c85519359b7438a4808,Chilumuru,590413,0,28,22,0,2,48,50,0,0,37,13,9,24,17,0,0,50,0,50,0,50,17,33,50,0,44,6,0,50
68e945638d6bb3c8b5c4b765,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c86519359b7438a480d,Donepudi,590422,0,0,50,1,1,48,50,0,0,34,16,0,2,48,0,0,50,50,0,0,50,49,1,43,5,42,8,48,2
68e945638d6bb3c8b5c4b766,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c86519359b7438a4812,Chinapulivarru,590421,0,8,42,1,9,40,50,0,0,33,17,23,12,15,0,2,48,2,48,27,23,38,12,49,1,50,0,50,0
68e945638d6bb3c8b5c4b767,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c86519359b7438a4817,Ravikampadu,590419,0,33,67,5,1,94,100,0,0,82,18,28,30,42,0,1,99,66,34,14,86,90,10,65,35,99,1,98,2
68e945638d6bb3c8b5c4b768,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c87519359b7438a4821,Kollur,590417,0,29,121,2,22,126,150,0,0,139,11,1,38,111,3,0,147,7,143,7,143,61,88,150,0,137,13,63,87
68e945638d6bb3c8b5c4b769,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c87519359b7438a4826,Pedalanka,590416,0,85,13,0,6,92,98,0,0,81,17,1,82,15,1,0,97,0,98,0,98,83,14,98,0,77,21,2,96
68e945638d6bb3c8b5c4b76a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3bf,KOLLUR,4944,63f99c87519359b7438a482b,Ananthavaram,590412,0,0,50,0,8,42,49,0,1,46,4,0,0,50,0,1,49,0,50,0,50,24,26,48,2,50,0,42,8
