_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4b7dc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99ca8519359b7438a4a8d,Nagaraju Palle,590693,0,29,24,0,31,22,53,0,0,38,15,1,31,21,0,0,53,3,50,0,53,51,2,52,1,42,11,53,0
68e945638d6bb3c8b5c4b7dd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99ca8519359b7438a4a92,Martur,590695,0,44,48,0,78,14,92,0,0,59,33,1,47,44,2,0,90,1,91,0,92,57,35,4,88,80,12,12,80
68e945638d6bb3c8b5c4b7de,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99ca8519359b7438a4a97,Dronadula,590705,0,95,14,0,80,29,109,0,0,75,34,0,95,14,4,0,105,0,109,0,109,54,55,28,81,100,9,16,93
68e945638d6bb3c8b5c4b7df,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99ca8519359b7438a4a9c,Bolla Palle,590702,0,40,16,0,34,22,56,0,0,31,25,0,37,19,0,0,56,0,56,0,56,7,49,30,16,45,11,55,1
68e945638d6bb3c8b5c4b7e0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99ca9519359b7438a4aa1,Bobbe Palle,590696,0,37,19,0,55,1,56,0,0,41,15,0,33,23,1,0,55,10,46,0,56,32,24,0,56,48,8,32,24
68e945638d6bb3c8b5c4b7e1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99ca9519359b7438a4aa6,Darsiagraharam,590698,0,34,16,0,23,27,50,0,0,30,20,0,33,17,0,0,50,0,50,0,38,16,24,30,20,49,1,33,17
68e945638d6bb3c8b5c4b7e2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99ca9519359b7438a4aab,Rajupalem,590694,0,48,4,0,41,11,52,0,0,31,21,0,48,4,2,0,50,0,52,0,52,14,38,20,32,43,9,29,23
68e945638d6bb3c8b5c4b7e3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99ca9519359b7438a4ab0,Jonna Thali Agraharam,590697,0,31,25,0,13,43,56,0,0,36,20,1,30,25,0,0,56,6,50,0,56,28,28,38,18,43,13,39,17
68e945638d6bb3c8b5c4b7e4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99caa519359b7438a4ab5,Valaparla,590699,0,56,53,6,43,60,108,0,1,78,31,1,53,55,0,4,105,2,107,0,109,7,102,75,16,92,17,52,56
68e945638d6bb3c8b5c4b7e5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99caa519359b7438a4abf,Konanki,590704,0,83,28,0,87,24,111,0,0,83,28,0,85,26,0,0,111,0,111,0,111,29,47,74,36,95,16,68,43
68e945638d6bb3c8b5c4b7e6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c3,MARTUR,5484,63f99cab519359b7438a4ac9,Kolala Pudi,590703,0,24,32,0,43,13,56,0,0,42,14,0,25,31,0,0,56,0,56,0,56,8,48,54,1,47,9,54,2
