_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4b7a7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c98519359b7438a496d,Edupalle,590495,0,36,0,0,7,29,34,0,2,36,0,0,33,3,5,0,31,11,25,0,36,11,25,34,2,33,3,0,36
68e945638d6bb3c8b5c4b7a8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c98519359b7438a4972,Pedamatlapudi,590494,0,71,0,1,11,59,55,0,16,70,1,0,62,9,0,0,71,15,56,5,66,18,53,63,8,69,2,2,69
68e945638d6bb3c8b5c4b7a9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c99519359b7438a4977,Pedapalle,590493,0,35,0,0,7,28,34,0,1,35,0,0,31,4,0,0,35,0,35,3,32,14,21,35,0,29,6,16,19
68e945638d6bb3c8b5c4b7aa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c99519359b7438a497c,Pudiwada,590491,0,35,0,0,9,26,35,0,0,35,0,1,31,3,0,0,35,0,35,2,33,13,22,35,0,31,4,25,10
68e945638d6bb3c8b5c4b7ab,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c99519359b7438a4981,Eletipalem,590489,0,70,0,0,14,56,33,1,36,70,0,0,63,7,0,0,70,17,53,15,55,1,69,40,30,63,7,32,38
68e945638d6bb3c8b5c4b7ac,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c99519359b7438a4986,Sivangulapalem,936135,0,7,0,0,1,6,6,0,1,7,0,0,4,3,0,0,7,0,7,0,7,0,7,7,0,6,1,0,7
68e945638d6bb3c8b5c4b7ad,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c9a519359b7438a498b,Allaparru,590496,0,109,0,1,26,82,106,0,3,108,1,0,96,13,0,0,109,44,65,0,109,26,82,109,0,97,12,1,108
68e945638d6bb3c8b5c4b7ae,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c9a519359b7438a4990,Siripudi,590492,0,34,1,0,7,28,31,0,4,35,0,0,33,2,5,0,30,11,24,2,33,10,25,35,0,29,6,13,22
68e945638d6bb3c8b5c4b7af,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c9a519359b7438a4995,Nagaram,590490,0,35,0,0,5,30,18,0,17,34,1,1,30,4,0,0,35,18,17,0,34,0,35,20,15,32,3,22,13
68e945638d6bb3c8b5c4b7b0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c9b519359b7438a499a,Pamidimarru,590488,0,22,0,0,5,17,12,0,10,22,0,0,18,4,0,0,22,0,22,7,15,1,21,15,7,16,6,8,14
68e945638d6bb3c8b5c4b7b1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c9b519359b7438a499f,Dhulipudi,590487,0,116,1,0,29,88,79,0,38,117,0,0,97,20,0,0,117,27,90,32,85,8,109,107,10,100,17,71,46
68e945638d6bb3c8b5c4b7b2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c9b519359b7438a49a4,Thotapalle,590486,0,9,0,0,4,5,9,0,0,9,0,0,9,0,0,0,9,0,9,0,9,0,9,9,0,9,0,4,5
68e945638d6bb3c8b5c4b7b3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3c5,NAGARAM,4952,63f99c9b519359b7438a49a9,Peddavaram,590485,0,19,0,0,9,10,19,0,0,19,0,0,17,2,0,0,19,0,19,0,19,0,19,19,0,17,2,6,13
