_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4b7b4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9c519359b7438a49b0,Kaithepalle,590511,0,53,15,0,10,58,68,0,0,49,19,0,25,43,0,0,68,11,57,0,68,20,48,66,2,63,5,34,34
68e945638d6bb3c8b5c4b7b5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9c519359b7438a49b5,Chodayapalem,590510,0,1,67,1,0,67,36,0,32,23,45,0,1,67,0,0,68,5,63,2,66,36,32,68,0,67,1,59,9
68e945638d6bb3c8b5c4b7b6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9c519359b7438a49ba,Karumuru,590498,1,14,18,1,0,32,31,0,2,8,25,0,14,19,0,0,33,0,33,0,33,6,27,33,0,32,1,15,18
68e945638d6bb3c8b5c4b7b7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9c519359b7438a49bf,Penumudi,590501,0,2,31,0,0,33,31,0,2,13,20,0,2,31,0,0,33,8,25,0,33,21,12,33,0,32,1,27,6
68e945638d6bb3c8b5c4b7b8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9d519359b7438a49c4,Peteru,590500,0,99,0,0,25,74,97,0,2,96,3,0,63,36,0,0,99,0,99,0,99,39,60,98,1,88,11,7,92
68e945638d6bb3c8b5c4b7b9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9d519359b7438a49c9,Uppudi,590506,0,35,0,0,4,31,35,0,0,35,0,0,16,19,0,0,35,16,19,7,28,18,17,34,0,30,5,13,22
68e945638d6bb3c8b5c4b7ba,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9d519359b7438a49ce,Bethapudi,590499,0,66,0,0,4,62,66,0,0,66,0,0,61,5,0,0,66,0,66,0,66,23,42,66,0,62,4,0,66
68e945638d6bb3c8b5c4b7bb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9d519359b7438a49d3,Kamarajugadda,590503,0,0,33,0,0,33,33,0,0,11,22,0,0,33,0,0,33,0,33,0,33,1,32,33,0,31,2,12,21
68e945638d6bb3c8b5c4b7bc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9e519359b7438a49d8,Singupalem,590508,0,15,18,0,19,14,33,0,0,24,9,1,17,15,0,0,33,33,0,0,33,0,33,33,0,28,5,22,11
68e945638d6bb3c8b5c4b7bd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9e519359b7438a49e2,Potumeraka,590512,0,32,36,2,32,34,67,1,0,46,22,7,42,19,1,0,67,52,16,3,65,19,49,68,0,60,8,59,9
68e945638d6bb3c8b5c4b7be,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9f519359b7438a49e7,Isukapalle (R),590507,0,33,0,0,0,33,33,0,0,33,0,0,30,3,0,0,33,4,29,0,33,12,21,32,1,31,2,0,33
68e945638d6bb3c8b5c4b7bf,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99c9f519359b7438a49ec,REPALLE TOWN (U),930394,0,0,33,1,7,25,32,0,1,17,16,0,0,33,0,0,33,6,27,0,33,29,4,30,3,32,1,21,12
68e945638d6bb3c8b5c4b7c0,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99ca0519359b7438a49f6,Aravapalle,590505,0,21,12,0,3,30,33,0,0,22,11,0,32,1,0,0,33,32,1,0,33,0,33,33,0,32,1,15,18
68e945638d6bb3c8b5c4b7c1,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99ca0519359b7438a49fb,Nalluru,590504,0,33,0,0,0,33,33,0,0,33,0,0,29,4,0,0,33,3,30,1,32,8,24,33,0,31,2,0,33
68e945638d6bb3c8b5c4b7c2,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99ca0519359b7438a4a00,Gangadipalem,590513,0,73,26,1,17,81,99,0,0,58,41,0,51,48,0,0,99,57,42,0,99,8,91,99,0,95,4,70,29
68e945638d6bb3c8b5c4b7c3,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cd,REPALLE,4967,63f99ca0519359b7438a4a05,Chatragadda,590502,0,18,15,0,14,19,31,0,2,19,14,0,19,14,0,0,33,0,33,0,33,2,31,33,0,30,3,32,1
