_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4b7c4,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca1519359b7438a4a0c,Kopparam,590674,0,119,0,0,23,96,119,0,0,104,15,0,106,13,4,0,115,2,117,0,119,34,85,97,22,104,15,56,63
68e945638d6bb3c8b5c4b7c5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca1519359b7438a4a11,Elchur,590675,0,106,15,1,22,98,121,0,0,103,18,0,50,71,0,0,121,1,120,0,120,44,77,111,10,114,7,46,75
68e945638d6bb3c8b5c4b7c6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca1519359b7438a4a16,Kommala Padu,590678,0,106,12,0,13,105,118,0,0,106,12,0,95,23,0,0,118,0,118,0,118,34,84,82,36,116,2,81,37
68e945638d6bb3c8b5c4b7c7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca2519359b7438a4a1b,Kunduru (East),590677,0,47,5,0,8,44,51,0,1,52,0,0,41,11,0,0,52,0,52,0,52,13,39,40,12,51,1,29,23
68e945638d6bb3c8b5c4b7c8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca2519359b7438a4a20,Gurijepalle,590673,0,40,0,1,5,34,40,0,0,31,9,0,32,8,0,0,40,0,40,0,40,11,29,35,5,40,0,30,10
68e945638d6bb3c8b5c4b7c9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca2519359b7438a4a25,Tangedu Malli,590672,0,73,1,0,10,64,74,0,0,67,7,0,55,19,0,0,74,4,70,0,74,15,59,36,38,70,4,30,44
68e945638d6bb3c8b5c4b7ca,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca2519359b7438a4a2a,Kamepalle,590670,0,40,0,0,3,37,40,0,0,35,5,0,39,1,36,0,4,0,40,0,40,12,28,23,17,40,0,10,30
68e945638d6bb3c8b5c4b7cb,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca3519359b7438a4a2f,Vellala Cheruvu,590668,0,75,5,1,17,62,78,0,2,69,11,0,71,9,0,0,80,0,80,3,77,36,44,51,29,70,10,44,36
68e945638d6bb3c8b5c4b7cc,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca3519359b7438a4a39,Kunduru (West),590676,0,26,2,0,3,25,28,0,0,26,2,0,25,3,0,0,28,0,28,0,28,10,18,26,2,23,5,20,8
68e945638d6bb3c8b5c4b7cd,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3cf,SANTHAMAGULURU,5496,63f99ca3519359b7438a4a3e,Santhamaguluru,590671,0,128,0,0,16,112,128,0,0,113,15,0,103,25,3,0,125,9,119,7,121,21,107,121,7,116,12,51,77
