_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4b73c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7a519359b7438a4730,Manduru,590378,0,46,8,0,19,35,54,0,0,37,17,0,0,54,0,0,54,0,54,0,54,41,13,54,0,49,5,49,5
68e945638d6bb3c8b5c4b73d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7a519359b7438a4735,Edlapalle,590376,0,22,86,0,70,38,108,0,0,86,22,2,25,81,0,0,108,0,108,83,25,108,0,105,3,88,20,108,0
68e945638d6bb3c8b5c4b73e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7a519359b7438a473a,Thottempudi,590383,0,49,5,1,13,40,51,0,3,29,25,0,4,50,0,0,54,0,54,0,54,26,28,54,0,53,1,0,54
68e945638d6bb3c8b5c4b73f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7a519359b7438a473f,Chinaparimi,590377,0,12,42,0,1,53,53,0,1,47,7,2,2,50,0,0,54,1,53,32,22,1,53,54,0,44,10,45,9
68e945638d6bb3c8b5c4b740,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7b519359b7438a4744,Pedagadelavarru,590379,0,5,49,0,25,29,54,0,0,41,13,0,3,51,0,0,54,0,54,0,54,27,27,54,0,51,3,49,5
68e945638d6bb3c8b5c4b741,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7b519359b7438a4749,Vetapalem,590381,0,97,1,1,2,95,98,0,0,74,24,0,52,46,0,0,98,1,97,92,6,38,60,91,7,79,19,74,24
68e945638d6bb3c8b5c4b742,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7c519359b7438a474e,Modukuru,590384,0,86,22,0,1,107,107,0,1,83,25,2,50,56,0,0,108,0,108,52,56,55,53,108,0,94,14,103,5
68e945638d6bb3c8b5c4b743,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7c519359b7438a4753,Tsundur,590380,0,97,11,0,16,92,106,0,2,71,37,0,58,50,0,0,108,29,79,5,103,16,92,108,0,95,13,18,90
68e945638d6bb3c8b5c4b744,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7d519359b7438a475d,Alapadu,590385,0,38,16,0,4,50,54,0,0,35,19,0,1,53,0,0,54,0,54,0,54,45,9,54,0,45,9,53,1
68e945638d6bb3c8b5c4b745,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d1,TSUNDUR,4975,63f99c7d519359b7438a4762,Penugudurupadu,590374,0,6,48,0,22,32,54,0,0,46,8,0,5,49,0,0,54,0,54,0,54,6,48,52,2,53,1,52,2
