_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945638d6bb3c8b5c4b754,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c81519359b7438a47b1,Penumarru,590411,0,54,16,0,63,7,70,0,0,38,32,0,22,48,0,0,70,0,70,0,66,38,31,70,0,66,4,37,13
68e945638d6bb3c8b5c4b755,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c81519359b7438a47b6,Pothumarru,590405,0,5,6,0,0,11,11,0,0,4,7,0,0,11,0,0,11,0,11,0,11,8,3,11,0,11,0,8,3
68e945638d6bb3c8b5c4b756,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c81519359b7438a47bb,Balijepalle,590409,0,0,40,1,0,39,40,0,0,35,5,0,5,35,0,0,40,0,40,0,40,23,17,40,0,40,0,35,5
68e945638d6bb3c8b5c4b757,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c82519359b7438a47c0,Jampani,590400,0,109,36,0,12,133,138,0,7,93,52,0,3,142,0,0,145,0,145,2,143,78,67,143,2,133,12,108,37
68e945638d6bb3c8b5c4b758,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c82519359b7438a47c5,Peravalipalem,590406,0,31,34,1,2,62,58,0,7,49,16,0,0,65,0,0,65,0,65,0,65,26,39,64,1,64,1,59,6
68e945638d6bb3c8b5c4b759,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c82519359b7438a47ca,Vemuru,590404,0,127,30,0,58,99,155,0,2,124,33,5,12,140,0,0,157,0,157,13,144,55,102,157,0,148,9,149,8
68e945638d6bb3c8b5c4b75a,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c82519359b7438a47cf,Chavali,590408,0,24,31,0,11,44,53,0,2,34,21,0,18,37,0,0,55,0,55,0,55,31,24,55,0,51,4,36,18
68e945638d6bb3c8b5c4b75b,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c83519359b7438a47d4,Abbanagudavalli,590410,0,0,10,0,0,10,10,0,0,9,1,0,0,10,0,0,10,0,10,0,10,5,5,10,0,10,0,8,2
68e945638d6bb3c8b5c4b75c,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c83519359b7438a47d9,PULICHINTALAPALEM,930387,0,11,1,0,1,11,11,0,1,6,6,0,0,12,0,0,12,0,12,0,12,9,3,12,0,12,0,8,4
68e945638d6bb3c8b5c4b75d,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c83519359b7438a47de,Kuchallapadu,590402,0,53,12,0,23,42,65,0,0,39,26,0,48,17,0,0,65,0,65,16,49,23,42,56,9,60,5,31,34
68e945638d6bb3c8b5c4b75e,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c83519359b7438a47e3,Peravali,590407,0,52,3,0,29,26,54,0,1,35,20,0,54,1,0,0,55,0,55,0,54,10,45,55,0,54,1,28,27
68e945638d6bb3c8b5c4b75f,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c84519359b7438a47e8,Varahapuram,590403,0,25,25,0,24,26,50,0,0,32,18,0,13,37,0,0,50,0,50,0,50,27,23,38,12,47,3,15,3
68e945638d6bb3c8b5c4b760,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.913Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f99c7a519359b7438a472b,Bapatla,750,6492facf680216eb6c93e3d3,VEMURU,4978,63f99c84519359b7438a47ed,Chadalawada,590401,0,53,12,1,21,43,65,0,0,39,26,0,4,61,0,0,65,0,65,1,43,41,24,63,2,60,5,13,52
