_id,cycle,scheme,__v,updatedAt,lastProcessedAt,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68e945628d6bb3c8b5c492a5,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588789d86ca9e2c02149,Baireddipalle,596756,0,30,16,38,4,4,22,1,23,43,3,3,30,13,0,0,46,0,46,28,18,37,9,45,1,44,2,40,6
68e945628d6bb3c8b5c492a6,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588789d86ca9e2c0214e,Chappidipalle,596763,0,14,25,25,5,9,17,1,21,37,2,12,14,13,0,0,39,0,39,29,10,30,9,39,0,38,1,35,4
68e945628d6bb3c8b5c492a7,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588889d86ca9e2c02153,Pathurnatham,596753,0,18,31,37,1,11,29,2,18,37,12,18,18,13,0,0,49,0,49,30,19,41,8,49,0,46,3,45,4
68e945628d6bb3c8b5c492a8,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588889d86ca9e2c02158,Belupalle,596746,0,40,4,30,1,13,18,9,17,42,2,0,40,4,0,0,44,0,44,25,19,28,16,44,0,43,1,40,4
68e945628d6bb3c8b5c492a9,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588889d86ca9e2c0215d,Alapalle,596743,0,32,9,25,5,11,11,11,19,40,1,4,32,5,0,0,41,0,41,31,10,29,12,41,0,39,2,35,6
68e945628d6bb3c8b5c492aa,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588889d86ca9e2c02162,Kambhampalle,596749,0,27,16,40,1,2,23,2,18,33,10,3,27,13,0,0,43,0,43,27,16,24,19,42,1,38,5,40,3
68e945628d6bb3c8b5c492ab,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588889d86ca9e2c02167,Gounithimmepalle,596755,0,31,12,23,3,17,13,1,29,37,6,2,31,10,0,0,43,0,43,28,15,31,12,43,0,41,2,41,2
68e945628d6bb3c8b5c492ac,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588989d86ca9e2c0216c,Gollachemana Palle,596744,0,29,13,30,5,7,13,4,25,36,6,4,29,9,0,0,42,0,42,25,17,28,14,42,0,40,2,39,3
68e945628d6bb3c8b5c492ad,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588989d86ca9e2c02171,Mulathimmepalle,596760,0,3,2,3,0,2,2,2,1,5,0,1,3,1,0,0,5,0,5,1,4,2,3,5,0,5,0,4,1
68e945628d6bb3c8b5c492ae,2024-25,660f941a5c8405ca8375c7c6,0,2026-08-01T18:37:39.912Z,2026-08-01T18:09:51.584Z,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3d9,BAIREDDIPALLE,4750,63f9588989d86ca9e2c02176,Meakalanagireddi Palle,596761,0,1,1,1,1,0,1,0,1,2,0,0,1,1,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
